id,sourceId,sourceName,rawText,segment,candidateCustodian,targetId,score,matchType,status
review:custodian:cherel:1:australian-bureau-of-statistics-abs-for-,custodian:cherel,CHeReL,"Australian Bureau of Statistics (ABS) for cross-jurisdictional projects, Australian Early Development Census (AEDC) data custodians for linked AEDC data","Australian Bureau of Statistics (ABS) for cross-jurisdictional projects, Australian Early Development Census (AEDC) data custodians for linked AEDC data",Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.0,name_exact,accepted
review:custodian:cancer-institute-nsw:1:not-explicitly-stated-but-potential-conn:override-reject,custodian:cancer-institute-nsw,Cancer Institute NSW,"Not explicitly stated, but potential connections with other NSW Health entities for linked data projects (verify with custodian)","Not explicitly stated, but potential connections with other NSW Health entities for linked data projects (verify with custodian)",,,0.0,override_force_reject,review_required
review:custodian:vahi:1:centre-for-victorian-data-linkage-cvdl-f,custodian:vahi,VAHI,Centre for Victorian Data Linkage (CVDL) for data linkage requests; Australian Institute of Health and Welfare (AIHW) and Independent Hospital and Aged Care Pricing Authority (IHACPA) for alternative data sources.,Centre for Victorian Data Linkage (CVDL) for data linkage requests,Centre for Victorian Data Linkage (CVDL),custodian:centre-for-victorian-data-linkage-cvdl,1.0,name_exact,accepted
review:custodian:vahi:2:australian-institute-of-health-and-welfa,custodian:vahi,VAHI,Centre for Victorian Data Linkage (CVDL) for data linkage requests; Australian Institute of Health and Welfare (AIHW) and Independent Hospital and Aged Care Pricing Authority (IHACPA) for alternative data sources.,Australian Institute of Health and Welfare (AIHW) and Independent Hospital and Aged Care Pricing Authority (IHACPA) for alternative data sources,AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:victorian-cancer-registry:1:australian-institute-of-health-and-welfa,custodian:victorian-cancer-registry,Victorian Cancer Registry,Australian Institute of Health and Welfare (AIHW) — for compiling national cancer figures; Family Cancer Centres — to assess cancer risk; Department of Health and Human Services (Victoria) — (reason to verify); Victorian Comprehensive Cancer Centre (VCCC) Data Connect — for linked health data access,Australian Institute of Health and Welfare (AIHW) — for compiling national cancer figures,AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:victorian-cancer-registry:2:family-cancer-centres-to-assess-cancer-r,custodian:victorian-cancer-registry,Victorian Cancer Registry,Australian Institute of Health and Welfare (AIHW) — for compiling national cancer figures; Family Cancer Centres — to assess cancer risk; Department of Health and Human Services (Victoria) — (reason to verify); Victorian Comprehensive Cancer Centre (VCCC) Data Connect — for linked health data access,Family Cancer Centres — to assess cancer risk,Cancer Institute NSW,custodian:cancer-institute-nsw,0.48,fuzzy,review_required
review:custodian:victorian-cancer-registry:3:department-of-health-and-human-services-,custodian:victorian-cancer-registry,Victorian Cancer Registry,Australian Institute of Health and Welfare (AIHW) — for compiling national cancer figures; Family Cancer Centres — to assess cancer risk; Department of Health and Human Services (Victoria) — (reason to verify); Victorian Comprehensive Cancer Centre (VCCC) Data Connect — for linked health data access,Department of Health and Human Services (Victoria) — (reason to verify),Department of Health and Aged Care,custodian:department-of-health-and-aged-care,0.6263,fuzzy,review_required
review:custodian:victorian-cancer-registry:4:victorian-comprehensive-cancer-centre-vc,custodian:victorian-cancer-registry,Victorian Cancer Registry,Australian Institute of Health and Welfare (AIHW) — for compiling national cancer figures; Family Cancer Centres — to assess cancer risk; Department of Health and Human Services (Victoria) — (reason to verify); Victorian Comprehensive Cancer Centre (VCCC) Data Connect — for linked health data access,Victorian Comprehensive Cancer Centre (VCCC) Data Connect — for linked health data access,NACCHO / Aboriginal Community Controlled Health Organisations (ACCHOs),custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,0.4768,fuzzy,review_required
review:custodian:centre-for-victorian-data-linkage-cvdl:1:1:population-health-research-net:override,custodian:centre-for-victorian-data-linkage-cvdl,Centre for Victorian Data Linkage (CVDL),"Population Health Research Network (PHRN) (part of the national data linkage network), other Victorian Government departments (data providers), Australian Bureau of Statistics (ABS) (for mapping and concordance tables)","Population Health Research Network (PHRN) (part of the national data linkage network), other Victorian Government departments (data providers), Australian Bureau of Statistics (ABS) (for mapping and concordance tables)",PHRN,custodian:phrn,1.0,override_force_accept,accepted
review:custodian:centre-for-victorian-data-linkage-cvdl:1:2:population-health-research-net:override,custodian:centre-for-victorian-data-linkage-cvdl,Centre for Victorian Data Linkage (CVDL),"Population Health Research Network (PHRN) (part of the national data linkage network), other Victorian Government departments (data providers), Australian Bureau of Statistics (ABS) (for mapping and concordance tables)","Population Health Research Network (PHRN) (part of the national data linkage network), other Victorian Government departments (data providers), Australian Bureau of Statistics (ABS) (for mapping and concordance tables)",Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.0,override_force_accept,accepted
review:custodian:queensland-health:1:statistical-analysis-and-linkage-unit-da,custodian:queensland-health,Queensland Health,"Statistical Analysis and Linkage Unit (Data Linkage Queensland, DLQ) for data linkage services, other custodians for cross-jurisdictional projects (verify with custodian)","Statistical Analysis and Linkage Unit (Data Linkage Queensland, DLQ) for data linkage services, other custodians for cross-jurisdictional projects (verify with custodian)",SA Health / SA NT DataLink,custodian:sa-health-sa-nt-datalink,0.5127,fuzzy,review_required
review:custodian:qcif:1:australian-access-federation-aaf-for-res:override-reject,custodian:qcif,QCIF,Australian Access Federation (AAF) — for researcher authentication; Australian state and federal data custodians — for sensitive data provision,Australian Access Federation (AAF) — for researcher authentication,,,0.0,override_force_reject,review_required
review:custodian:qcif:2:australian-state-and-federal-data-custod:override-reject,custodian:qcif,QCIF,Australian Access Federation (AAF) — for researcher authentication; Australian state and federal data custodians — for sensitive data provision,Australian state and federal data custodians — for sensitive data provision,,,0.0,override_force_reject,review_required
review:custodian:wa-health-data-linkage-services-wa:1:department-of-transport-main-roads-wa-in,custodian:wa-health-data-linkage-services-wa,WA Health / Data Linkage Services WA,"Department of Transport, Main Roads WA, Insurance Commission of WA (for data linkage); Other state and territory data linkage units, Australian Institute of Health and Welfare (AIHW) through the Population Health Research Network (PHRN) (for cross-jurisdictional research)","Department of Transport, Main Roads WA, Insurance Commission of WA (for data linkage)",Tasmanian Department of Health / Tasmanian Data Linkage Unit (TDLU),custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,0.4748,fuzzy,review_required
review:custodian:wa-health-data-linkage-services-wa:2:1:other-state-and-territory-data:override,custodian:wa-health-data-linkage-services-wa,WA Health / Data Linkage Services WA,"Department of Transport, Main Roads WA, Insurance Commission of WA (for data linkage); Other state and territory data linkage units, Australian Institute of Health and Welfare (AIHW) through the Population Health Research Network (PHRN) (for cross-jurisdictional research)","Other state and territory data linkage units, Australian Institute of Health and Welfare (AIHW) through the Population Health Research Network (PHRN) (for cross-jurisdictional research)",AIHW,custodian:aihw,1.0,override_force_accept,accepted
review:custodian:wa-health-data-linkage-services-wa:2:2:other-state-and-territory-data:override,custodian:wa-health-data-linkage-services-wa,WA Health / Data Linkage Services WA,"Department of Transport, Main Roads WA, Insurance Commission of WA (for data linkage); Other state and territory data linkage units, Australian Institute of Health and Welfare (AIHW) through the Population Health Research Network (PHRN) (for cross-jurisdictional research)","Other state and territory data linkage units, Australian Institute of Health and Welfare (AIHW) through the Population Health Research Network (PHRN) (for cross-jurisdictional research)",PHRN,custodian:phrn,1.0,override_force_accept,accepted
review:custodian:sa-health-sa-nt-datalink:1:australian-government-data-custodians-fo,custodian:sa-health-sa-nt-datalink,SA Health / SA NT DataLink,"Australian Government data custodians (for MBS, PBS, Centrelink, Aged Care, NDIS data), Aboriginal Health Council of South Australia (for projects requiring waiver of consent).","Australian Government data custodians (for MBS, PBS, Centrelink, Aged Care, NDIS data), Aboriginal Health Council of South Australia (for projects requiring waiver of consent)",Services Australia,custodian:services-australia,0.86,alias_short,review_required
review:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:1:data-custodians-for-each-dataset-involve,custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,Tasmanian Department of Health / Tasmanian Data Linkage Unit (TDLU),"Data Custodians (for each dataset involved), NHMRC registered Human Research Ethics Committees (HREC), Tasmanian Department of Health (DoH) Research Office (for DoH/Tasmanian Health Service datasets)","Data Custodians (for each dataset involved), NHMRC registered Human Research Ethics Committees (HREC), Tasmanian Department of Health (DoH) Research Office (for DoH/Tasmanian Health Service datasets)",NHMRC / HRECs,custodian:nhmrc-hrecs,0.96,alias_exact,accepted
review:custodian:act-health:1:1:centre-for-health-record-linka:override,custodian:act-health,ACT Health,"Centre for Health Record Linkage (CHeReL) for data linkage, particularly with NSW health data. (verify with custodian)","Centre for Health Record Linkage (CHeReL) for data linkage, particularly with NSW health data. (verify with custodian)",CHeReL,custodian:cherel,1.0,override_force_accept,accepted
review:custodian:nt-health-nt-health-research-governance-office:1:1:sa-nt-datalink-for-linked-data:override,custodian:nt-health-nt-health-research-governance-office,NT Health / NT Health Research Governance Office,"SA NT DataLink (for linked data across South Australia and Northern Territory, including health, education, criminal justice, and other data sources)","SA NT DataLink (for linked data across South Australia and Northern Territory, including health, education, criminal justice, and other data sources)",SA Health / SA NT DataLink,custodian:sa-health-sa-nt-datalink,1.0,override_force_accept,accepted
review:custodian:phrn:1:state-and-territory-data-linkage-units-d,custodian:phrn,PHRN,"State and Territory Data Linkage Units (DLUs), National Health Data Hub (NHDH@aihw.gov.au), AIHW (for NHDH)","State and Territory Data Linkage Units (DLUs), National Health Data Hub (NHDH@aihw.gov.au), AIHW (for NHDH)",AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:sure-secure-unified-research-environment:1:1:population-health-research-net:override,custodian:sure-secure-unified-research-environment,SURE — Secure Unified Research Environment,"Population Health Research Network (PHRN), Australian Government National Collaborative Research Infrastructure Strategy (NCRIS), NSW Government, AIHW (for DSS data), Cancer Institute NSW (for CanDLe data), 25 data custodians from all Australian states and territories","Population Health Research Network (PHRN), Australian Government National Collaborative Research Infrastructure Strategy (NCRIS), NSW Government, AIHW (for DSS data), Cancer Institute NSW (for CanDLe data), 25 data custodians from all Australian states and territories",PHRN,custodian:phrn,1.0,override_force_accept,accepted
review:custodian:sure-secure-unified-research-environment:1:2:population-health-research-net:override,custodian:sure-secure-unified-research-environment,SURE — Secure Unified Research Environment,"Population Health Research Network (PHRN), Australian Government National Collaborative Research Infrastructure Strategy (NCRIS), NSW Government, AIHW (for DSS data), Cancer Institute NSW (for CanDLe data), 25 data custodians from all Australian states and territories","Population Health Research Network (PHRN), Australian Government National Collaborative Research Infrastructure Strategy (NCRIS), NSW Government, AIHW (for DSS data), Cancer Institute NSW (for CanDLe data), 25 data custodians from all Australian states and territories",AIHW,custodian:aihw,1.0,override_force_accept,accepted
review:custodian:sure-secure-unified-research-environment:1:3:population-health-research-net:override,custodian:sure-secure-unified-research-environment,SURE — Secure Unified Research Environment,"Population Health Research Network (PHRN), Australian Government National Collaborative Research Infrastructure Strategy (NCRIS), NSW Government, AIHW (for DSS data), Cancer Institute NSW (for CanDLe data), 25 data custodians from all Australian states and territories","Population Health Research Network (PHRN), Australian Government National Collaborative Research Infrastructure Strategy (NCRIS), NSW Government, AIHW (for DSS data), Cancer Institute NSW (for CanDLe data), 25 data custodians from all Australian states and territories",Cancer Institute NSW,custodian:cancer-institute-nsw,1.0,override_force_accept,accepted
review:custodian:abs-datalab:1:other-data-custodians-for-integrated-dat:override-reject,custodian:abs-datalab,ABS DataLab,Other data custodians (for integrated datasets and project approvals),Other data custodians (for integrated datasets and project approvals),,,0.0,override_force_reject,review_required
review:custodian:aihw-data-integration-services:1:services-australia-for-mbs-pbs-data-stat,custodian:aihw-data-integration-services,AIHW Data Integration Services,"Services Australia (for MBS/PBS data), state and territory health departments, other Commonwealth agencies","Services Australia (for MBS/PBS data), state and territory health departments, other Commonwealth agencies",Services Australia,custodian:services-australia,1.0,name_exact,accepted
review:custodian:adha:1:australian-institute-of-health-and-welfa,custodian:adha,ADHA,"Australian Institute of Health and Welfare (AIHW) — appointed as Data Custodian for My Health Record system data for research or public health purposes; My Health Record Data Governance Board — includes representatives from AIHW, ADHA, Aboriginal and Torres Strait Islander Peoples’ Advisory Panel, and independent experts.",Australian Institute of Health and Welfare (AIHW) — appointed as Data Custodian for My Health Record system data for research or public health purposes,AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:adha:2:my-health-record-data-governance-board-i,custodian:adha,ADHA,"Australian Institute of Health and Welfare (AIHW) — appointed as Data Custodian for My Health Record system data for research or public health purposes; My Health Record Data Governance Board — includes representatives from AIHW, ADHA, Aboriginal and Torres Strait Islander Peoples’ Advisory Panel, and independent experts.","My Health Record Data Governance Board — includes representatives from AIHW, ADHA, Aboriginal and Torres Strait Islander Peoples’ Advisory Panel, and independent experts",AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:phn-cooperative-primary-health-insights:1:individual-primary-health-networks-phns-,custodian:phn-cooperative-primary-health-insights,PHN Cooperative / Primary Health Insights,"Individual Primary Health Networks (PHNs) (data collection), General Practices (data source), Software Vendors (data extraction tools), Australian Institute of Health and Welfare (AIHW) (governance framework reference), Department of Health (policy guidance)","Individual Primary Health Networks (PHNs) (data collection), General Practices (data source), Software Vendors (data extraction tools), Australian Institute of Health and Welfare (AIHW) (governance framework reference), Department of Health (policy guidance)",AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:medicineinsight-nps-medicinewise:1:not-explicitly-mentioned-in-the-reviewed:override-reject,custodian:medicineinsight-nps-medicinewise,MedicineInsight (NPS MedicineWise),Not explicitly mentioned in the reviewed sources. (Verify with custodian).,Not explicitly mentioned in the reviewed sources. (Verify with custodian),,,0.0,override_force_reject,review_required
review:custodian:nhmrc-hrecs:1:1:data-custodians-e-g-aihw-state:override,custodian:nhmrc-hrecs,NHMRC / HRECs,"Data custodians (e.g., AIHW, state health departments, Services Australia) — HREC approval is a prerequisite for accessing data from these custodians; Research institutions/universities — HRECs are often affiliated with these institutions; Funding bodies — May require HREC approval as a condition of funding","Data custodians (e.g., AIHW, state health departments, Services Australia) — HREC approval is a prerequisite for accessing data from these custodians",AIHW,custodian:aihw,1.0,override_force_accept,accepted
review:custodian:nhmrc-hrecs:1:2:data-custodians-e-g-aihw-state:override,custodian:nhmrc-hrecs,NHMRC / HRECs,"Data custodians (e.g., AIHW, state health departments, Services Australia) — HREC approval is a prerequisite for accessing data from these custodians; Research institutions/universities — HRECs are often affiliated with these institutions; Funding bodies — May require HREC approval as a condition of funding","Data custodians (e.g., AIHW, state health departments, Services Australia) — HREC approval is a prerequisite for accessing data from these custodians",Services Australia,custodian:services-australia,1.0,override_force_accept,accepted
review:custodian:nhmrc-hrecs:2:research-institutions-universities-hrecs,custodian:nhmrc-hrecs,NHMRC / HRECs,"Data custodians (e.g., AIHW, state health departments, Services Australia) — HREC approval is a prerequisite for accessing data from these custodians; Research institutions/universities — HRECs are often affiliated with these institutions; Funding bodies — May require HREC approval as a condition of funding",Research institutions/universities — HRECs are often affiliated with these institutions,Cancer Institute NSW,custodian:cancer-institute-nsw,0.3662,fuzzy,review_required
review:custodian:nhmrc-hrecs:3:funding-bodies-may-require-hrec-approval,custodian:nhmrc-hrecs,NHMRC / HRECs,"Data custodians (e.g., AIHW, state health departments, Services Australia) — HREC approval is a prerequisite for accessing data from these custodians; Research institutions/universities — HRECs are often affiliated with these institutions; Funding bodies — May require HREC approval as a condition of funding",Funding bodies — May require HREC approval as a condition of funding,NT Health / NT Health Research Governance Office,custodian:nt-health-nt-health-research-governance-office,0.3393,fuzzy,review_required
review:custodian:aiatsis:1:aihw-australian-institute-of-health-and-,custodian:aiatsis,AIATSIS,AIHW (Australian Institute of Health and Welfare) — for national health data linkage; ABS (Australian Bureau of Statistics) — for national statistical data linkage; Other Indigenous community organisations and research bodies — for collaborative research and data governance.,AIHW (Australian Institute of Health and Welfare) — for national health data linkage,AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:aiatsis:2:abs-australian-bureau-of-statistics-for-,custodian:aiatsis,AIATSIS,AIHW (Australian Institute of Health and Welfare) — for national health data linkage; ABS (Australian Bureau of Statistics) — for national statistical data linkage; Other Indigenous community organisations and research bodies — for collaborative research and data governance.,ABS (Australian Bureau of Statistics) — for national statistical data linkage,Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.0,name_exact,accepted
review:custodian:aiatsis:3:other-indigenous-community-organisations,custodian:aiatsis,AIATSIS,AIHW (Australian Institute of Health and Welfare) — for national health data linkage; ABS (Australian Bureau of Statistics) — for national statistical data linkage; Other Indigenous community organisations and research bodies — for collaborative research and data governance.,Other Indigenous community organisations and research bodies — for collaborative research and data governance,NHMRC / HRECs,custodian:nhmrc-hrecs,0.4516,fuzzy,review_required
review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:1:state-and-territory-health-departments-f,custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,NACCHO / Aboriginal Community Controlled Health Organisations (ACCHOs),"State and Territory Health Departments (for linked data, policy alignment); Australian Institute of Health and Welfare (AIHW) (for national data linkage and reporting); Australian Bureau of Statistics (ABS) (for population data linkage); Indigenous-specific Human Research Ethics Committees (HRECs) (for ethical oversight); Other ACCHOs (for multi-site studies or aggregated data)","State and Territory Health Departments (for linked data, policy alignment)",Tasmanian Department of Health / Tasmanian Data Linkage Unit (TDLU),custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,0.4806,fuzzy,review_required
review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:2:australian-institute-of-health-and-welfa,custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,NACCHO / Aboriginal Community Controlled Health Organisations (ACCHOs),"State and Territory Health Departments (for linked data, policy alignment); Australian Institute of Health and Welfare (AIHW) (for national data linkage and reporting); Australian Bureau of Statistics (ABS) (for population data linkage); Indigenous-specific Human Research Ethics Committees (HRECs) (for ethical oversight); Other ACCHOs (for multi-site studies or aggregated data)",Australian Institute of Health and Welfare (AIHW) (for national data linkage and reporting),AIHW,custodian:aihw,1.0,name_exact,accepted
review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:3:australian-bureau-of-statistics-abs-for-,custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,NACCHO / Aboriginal Community Controlled Health Organisations (ACCHOs),"State and Territory Health Departments (for linked data, policy alignment); Australian Institute of Health and Welfare (AIHW) (for national data linkage and reporting); Australian Bureau of Statistics (ABS) (for population data linkage); Indigenous-specific Human Research Ethics Committees (HRECs) (for ethical oversight); Other ACCHOs (for multi-site studies or aggregated data)",Australian Bureau of Statistics (ABS) (for population data linkage),Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.0,name_exact,accepted
review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:4:indigenous-specific-human-research-ethic,custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,NACCHO / Aboriginal Community Controlled Health Organisations (ACCHOs),"State and Territory Health Departments (for linked data, policy alignment); Australian Institute of Health and Welfare (AIHW) (for national data linkage and reporting); Australian Bureau of Statistics (ABS) (for population data linkage); Indigenous-specific Human Research Ethics Committees (HRECs) (for ethical oversight); Other ACCHOs (for multi-site studies or aggregated data)",Indigenous-specific Human Research Ethics Committees (HRECs) (for ethical oversight),NHMRC / HRECs,custodian:nhmrc-hrecs,0.96,alias_exact,accepted
review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:5:other-acchos-for-multi-site-studies-or-a,custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,NACCHO / Aboriginal Community Controlled Health Organisations (ACCHOs),"State and Territory Health Departments (for linked data, policy alignment); Australian Institute of Health and Welfare (AIHW) (for national data linkage and reporting); Australian Bureau of Statistics (ABS) (for population data linkage); Indigenous-specific Human Research Ethics Committees (HRECs) (for ethical oversight); Other ACCHOs (for multi-site studies or aggregated data)",Other ACCHOs (for multi-site studies or aggregated data),CHeReL,custodian:cherel,0.4301,fuzzy,review_required
review:custodian:acsqhc:1:1:aihw-for-broader-health-and-we:override,custodian:acsqhc,ACSQHC,"AIHW (for broader health and welfare data), State/Territory Health Departments (for jurisdictional health data), Services Australia (for MBS/PBS data if linked to patient outcomes)","AIHW (for broader health and welfare data), State/Territory Health Departments (for jurisdictional health data), Services Australia (for MBS/PBS data if linked to patient outcomes)",AIHW,custodian:aihw,1.0,override_force_accept,accepted
review:custodian:acsqhc:1:2:aihw-for-broader-health-and-we:override,custodian:acsqhc,ACSQHC,"AIHW (for broader health and welfare data), State/Territory Health Departments (for jurisdictional health data), Services Australia (for MBS/PBS data if linked to patient outcomes)","AIHW (for broader health and welfare data), State/Territory Health Departments (for jurisdictional health data), Services Australia (for MBS/PBS data if linked to patient outcomes)",Services Australia,custodian:services-australia,1.0,override_force_accept,accepted
review:custodian:ardc:1:data-providers-universities-medical-rese,custodian:ardc,ARDC,"Data providers (universities, medical research institutes, clinical trials networks, health services) via HeSANDA (Health Studies Australian National Data Asset program)","Data providers (universities, medical research institutes, clinical trials networks, health services) via HeSANDA (Health Studies Australian National Data Asset program)",WA Health / Data Linkage Services WA,custodian:wa-health-data-linkage-services-wa,0.3968,fuzzy,review_required
review:custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health:1:department-of-social-services-dss-for-da,custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health,Private Hospital Data Bureau (PHDB) via AIHW / Department of Health,"Department of Social Services (DSS) for Data Over Multiple Individual Occurrences (DOMINO) accessible through AIHW. Independent Health and Aged Care Pricing Authority (IHACPA) uses PHDB data for National Efficient Price (NEP) calculations. Potentially other Commonwealth or State health data custodians for linked data projects, as AIHW is a national data integration body.","Department of Social Services (DSS) for Data Over Multiple Individual Occurrences (DOMINO) accessible through AIHW. Independent Health and Aged Care Pricing Authority (IHACPA) uses PHDB data for National Efficient Price (NEP) calculations. Potentially other Commonwealth or State health data custodians for linked data projects, as AIHW is a national data integration body",AIHW,custodian:aihw,1.0,name_exact,accepted
