node_element_id,actor,channel,id,lane,stepNumber,text,timeline
PathwayStep|step:custodian:services-australia:8,custodian,Invoice for payment,step:custodian:services-australia:8,Custodian,8,Quality Assurance & Invoicing,(verify timeline)
PathwayStep|step:custodian:services-australia:9,researcher/custodian,Payment of invoice,step:custodian:services-australia:9,Researcher,9,Payment & Data Provision,(verify timeline)
PathwayStep|step:custodian:department-of-health-and-aged-care:1,researcher,email to statistics@humanservices.gov.au,step:custodian:department-of-health-and-aged-care:1,Researcher,1,Initial Inquiry for MBS/PBS data,(verify with custodian)
PathwayStep|step:custodian:department-of-health-and-aged-care:2,researcher,email to data.release@health.gov.au,step:custodian:department-of-health-and-aged-care:2,Researcher,2,Initial Inquiry for other Commonwealth health data,(verify with custodian)
PathwayStep|step:custodian:department-of-health-and-aged-care:3,researcher/ethics committee,Human Research Ethics Committee approval,step:custodian:department-of-health-and-aged-care:3,Researcher,3,Ethics Approval (if required),(verify with custodian)
PathwayStep|step:custodian:tga:1,Researcher,Contact TGA (email/phone),step:custodian:tga:1,Researcher,1,Initial Inquiry,(verify timeline)
PathwayStep|step:custodian:tga:2,Researcher,(verify form/portal),step:custodian:tga:2,Researcher,2,Formal Application,(verify timeline)
PathwayStep|step:custodian:tga:3,Custodian,(verify method),step:custodian:tga:3,Custodian,3,Data Provision,(verify timeline)
PathwayStep|step:custodian:apra:1,researcher,Email to dataanalytics@apra.gov.au for general data inquiries,step:custodian:apra:1,Researcher,1,Initial Inquiry,(verify with custodian)
PathwayStep|step:custodian:apra:2,researcher,No specific formal application process for granular health data access by researchers is publicly available (verify with custodian),step:custodian:apra:2,Researcher,2,Formal Request,(verify with custodian)
PathwayStep|step:custodian:apra:3,custodian,APRA primarily publishes aggregated statistics; direct provision of granular health data for research is not publicly documented (verify with custodian),step:custodian:apra:3,Custodian,3,Data Provision,(verify with custodian)
PathwayStep|step:custodian:nsw-health-ministry-of-health-nsw:1,Researcher,Discuss request and requirements with the relevant data steward (name automatically populates in the form),step:custodian:nsw-health-ministry-of-health-nsw:1,Researcher,1,Initial Inquiry/Discussion,(verify with custodian)
PathwayStep|step:custodian:nsw-health-ministry-of-health-nsw:2,Researcher,Data Request and Approval Form (online form via ACI),step:custodian:nsw-health-ministry-of-health-nsw:2,Researcher,2,Complete Data Request and Approval Form,(verify with custodian)
PathwayStep|step:custodian:nsw-health-ministry-of-health-nsw:3,Data Steward/Custodian,"Review of request against NSW data sharing principles, risk assessment",step:custodian:nsw-health-ministry-of-health-nsw:3,Custodian,3,Assessment of Request,3-5 weeks for non 'back-to-notifier' requests; up to 5 business days for 'back-to-notifier' requests
PathwayStep|step:custodian:nsw-health-ministry-of-health-nsw:4,Researcher/Ethics Committee,"Approval from relevant HREC (e.g., NSW Aboriginal Health and Medical Research Council (AH&MRC) Ethics Committee for Indigenous data)",step:custodian:nsw-health-ministry-of-health-nsw:4,Researcher,4,Ethics Approval (if required),(verify with custodian)
PathwayStep|step:custodian:nsw-health-ministry-of-health-nsw:5,Data Steward/Custodian & Researcher,"Compliance with conditions of release, signing of confidentiality undertaking",step:custodian:nsw-health-ministry-of-health-nsw:5,Researcher,5,Data Release and Confidentiality Undertaking,(verify with custodian)
PathwayStep|step:custodian:cherel:1,Researcher,Review CHeReL website for dataset and variable information,step:custodian:cherel:1,Researcher,1,Plan your study,(Timeline varies)
PathwayStep|step:custodian:cherel:2,Researcher,Submit an Expression of Interest via CheckApp and complete application forms,step:custodian:cherel:2,Researcher,2,Start your application,(Timeline varies)
PathwayStep|step:custodian:cherel:3,Researcher,Email completed forms to Research Project Managers,step:custodian:cherel:3,Researcher,3,Submit your application forms to CHeReL,(Timeline varies)
PathwayStep|step:custodian:cherel:4,CHeReL,Review of project for technical feasibility,step:custodian:cherel:4,Custodian,4,Technical feasibility review,(Timeline varies)
PathwayStep|step:custodian:cherel:5,CHeReL,CHeReL seeks approval from data custodians for MLK datasets,step:custodian:cherel:5,EthicsRegulatory,5,Data custodian approval,2-4 weeks for MLK data custodian approvals (verify with custodian)
PathwayStep|step:custodian:cherel:6,Researcher,"Submit data custodian approvals, technical feasibility letter, and all application documents to PHSREC",step:custodian:cherel:6,Researcher,6,Ready for the Ethics Committee,(Timeline varies)
PathwayStep|step:custodian:cherel:7,Researcher,Send ethics approval letter and listed documents to CHeReL,step:custodian:cherel:7,Researcher,7,Notify the CHeReL of your approval,(Timeline varies)
PathwayStep|step:custodian:cancer-institute-nsw:1,Researcher,Complete data request form (available on Cancer Institute NSW website),step:custodian:cancer-institute-nsw:1,Researcher,1,Initial Inquiry/Application,"(Timeline: Not specified, but approval processing is 5 business days after ethics approval)"
PathwayStep|step:custodian:cancer-institute-nsw:2,Ethics Committee (Researcher initiates),"Approval from relevant Human Research Ethics Committee (HREC), potentially NSW Population and Health Services Research Ethics Committee",step:custodian:cancer-institute-nsw:2,Researcher,2,Ethics Approval,(Timeline: Varies by HREC)
PathwayStep|step:custodian:cancer-institute-nsw:3,Custodian,Review of data request form and ethics approval,step:custodian:cancer-institute-nsw:3,EthicsRegulatory,3,Custodian Approval,(Timeline: 5 business days after receipt of ethics approval)
PathwayStep|step:custodian:cancer-institute-nsw:4,Custodian,Data provided via Cancer Institute NSW Secure File Sharing System,step:custodian:cancer-institute-nsw:4,Custodian,4,Data Provision,"(Timeline: CITTS data updated every six months, other data timelines not specified, verify with custodian)"
PathwayStep|step:custodian:vahi:1,Researcher,VAHI Data Request Hub (https://vahi.freshdesk.com/support/home),step:custodian:vahi:1,Researcher,1,Initial Inquiry,(verify with custodian)
PathwayStep|step:custodian:vahi:2,Researcher,CVDL Online Application Form (https://vahi.vic.gov.au/ourwork/data-linkage),step:custodian:vahi:2,Researcher,2,Data Linkage Request (if applicable),(verify with custodian)
PathwayStep|step:custodian:vahi:3,Researcher/Ethics Committee,Relevant Human Research Ethics Committee (HREC) application,step:custodian:vahi:3,Researcher,3,Ethics Approval,(verify with custodian)
PathwayStep|step:custodian:vahi:4,Custodian,VALT secure research environment,step:custodian:vahi:4,Custodian,4,Data Provision (via VALT),(verify with custodian)
PathwayStep|step:custodian:victorian-cancer-registry:1,Researcher,"Check publicly available sources (VCR annual statistics & trends report, VCR Data Explorer)",step:custodian:victorian-cancer-registry:1,Researcher,1,Initial Inquiry,(verify timeline)
PathwayStep|step:custodian:victorian-cancer-registry:2,Researcher,Complete Data Access Form,step:custodian:victorian-cancer-registry:2,Researcher,2,Data Request (Non-identifiable),(verify timeline)
PathwayStep|step:custodian:victorian-cancer-registry:3,Researcher,(verify what is needed),step:custodian:victorian-cancer-registry:3,Researcher,3,Initial Inquiry (Identifiable/Re-identifiable),(verify timeline)
PathwayStep|step:custodian:victorian-cancer-registry:4,Researcher/Ethics Committee,Approval from a Human Research Ethics Committee (HREC) recognised by NHMRC,step:custodian:victorian-cancer-registry:4,Researcher,4,Ethics Approval,(verify timeline)
PathwayStep|step:custodian:victorian-cancer-registry:5,Custodian,Approval from the VCR Director,step:custodian:victorian-cancer-registry:5,EthicsRegulatory,5,VCR Director Approval,(verify timeline)
PathwayStep|step:custodian:victorian-cancer-registry:6,Researcher,Complete Data Access Form,step:custodian:victorian-cancer-registry:6,Researcher,6,Data Request (Identifiable/Re-identifiable),(verify timeline)
PathwayStep|step:custodian:victorian-cancer-registry:7,Custodian,"Discussion on complexity and size of request, Data access cost information",step:custodian:victorian-cancer-registry:7,Custodian,7,Cost Discussion,(verify timeline)
PathwayStep|step:custodian:victorian-cancer-registry:8,Custodian,Data provided,step:custodian:victorian-cancer-registry:8,Custodian,8,Data Provision,(verify timeline)
PathwayStep|step:custodian:centre-for-victorian-data-linkage-cvdl:1,researcher,project proposal outline,step:custodian:centre-for-victorian-data-linkage-cvdl:1,Researcher,1,Initial Inquiry,(verify with custodian)
PathwayStep|step:custodian:centre-for-victorian-data-linkage-cvdl:2,researcher,"formal application form, ethics approval documentation",step:custodian:centre-for-victorian-data-linkage-cvdl:2,Researcher,2,Application Submission,(verify with custodian)
PathwayStep|step:custodian:centre-for-victorian-data-linkage-cvdl:3,custodian,linked data extracts,step:custodian:centre-for-victorian-data-linkage-cvdl:3,Custodian,3,Data Linkage and Preparation,(verify with custodian)
PathwayStep|step:custodian:centre-for-victorian-data-linkage-cvdl:4,researcher,secure virtual machine access,step:custodian:centre-for-victorian-data-linkage-cvdl:4,Researcher,4,Data Access,(verify with custodian)
PathwayStep|step:custodian:queensland-health:1,Researcher,"Confirm data availability, resources, and fees. (PHA application form, data custodian PDF)",step:custodian:queensland-health:1,Researcher,1,Contact the data custodian,(verify with custodian)
PathwayStep|step:custodian:queensland-health:2,Researcher,"HREC decision letter, approval of any subsequent amendments. (HREC application)",step:custodian:queensland-health:2,Researcher,2,Apply for Human Research Ethics Committee (HREC) approval,(verify with custodian)
PathwayStep|step:custodian:queensland-health:3,Researcher/Custodian,Data custodian review and signature on application form. (PHA application form),step:custodian:queensland-health:3,Researcher,3,Get data custodian authorisation,(verify with custodian)
PathwayStep|step:custodian:queensland-health:4,Researcher,"Signed and dated PHA application form, evidence of HREC approval, HREC amendment approvals. (PHA@health.qld.gov.au)",step:custodian:queensland-health:4,Researcher,4,Submit your application,(verify with custodian)
PathwayStep|step:custodian:queensland-health:5,Custodian,(Director General or delegate review),step:custodian:queensland-health:5,Custodian,5,Application review and decision,(verify with custodian)
PathwayStep|step:custodian:queensland-health:6,Researcher,"Progress report every 12 months, final report upon completion. (progress report DOC, final report DOC)",step:custodian:queensland-health:6,Researcher,6,Submit progress and final reports,(verify with custodian)
PathwayStep|step:custodian:qcif:1,Researcher,Contact QCIF (enquiries@qcif.edu.au),step:custodian:qcif:1,Researcher,1,Initial Inquiry and Project Discussion,(verify with custodian)
PathwayStep|step:custodian:qcif:2,Researcher/Custodian,Project-specific risk assessment to confirm platform suitability,step:custodian:qcif:2,Researcher,2,Risk Assessment,(verify with custodian)
PathwayStep|step:custodian:qcif:3,Data Custodian,Agreement for data sharing with KeyPoint,step:custodian:qcif:3,EthicsRegulatory,3,Data Custodian Approval,(verify with custodian)
PathwayStep|step:custodian:qcif:4,Custodian/Researcher,Setup of secure environment and access for approved users,step:custodian:qcif:4,Researcher,4,Onboarding to KeyPoint,(verify with custodian)
PathwayStep|step:custodian:qcif:5,Researcher,"Access to infrastructure, software, systems, and analytical tools within KeyPoint",step:custodian:qcif:5,Researcher,5,Data Analysis,Ongoing
PathwayStep|step:custodian:wa-health-data-linkage-services-wa:1,Researcher,Contact Client Services to discuss project feasibility,step:custodian:wa-health-data-linkage-services-wa:1,Researcher,1,Initial Enquiry & Planning,(verify with custodian)
PathwayStep|step:custodian:wa-health-data-linkage-services-wa:2,Researcher,"Complete and submit Application Form, Cover Sheet, and relevant variable lists (Module 1, 2, and 3 forms) via the application portal",step:custodian:wa-health-data-linkage-services-wa:2,Researcher,2,Application Submission,(verify with custodian)
PathwayStep|step:custodian:wa-health-data-linkage-services-wa:3,Custodian,Application is reviewed for completeness and feasibility,step:custodian:wa-health-data-linkage-services-wa:3,Custodian,3,Application Review,(verify with custodian)
PathwayStep|step:custodian:wa-health-data-linkage-services-wa:4,Researcher/Ethics Committee,Obtain HREC approval from a WA Health accredited HREC,step:custodian:wa-health-data-linkage-services-wa:4,Researcher,4,Ethics & Governance Approval,(verify with custodian)
PathwayStep|step:custodian:wa-health-data-linkage-services-wa:5,Custodian,Data custodians review and approve the data request,step:custodian:wa-health-data-linkage-services-wa:5,EthicsRegulatory,5,Data Custodian Approval,(verify with custodian)
PathwayStep|step:custodian:wa-health-data-linkage-services-wa:6,Custodian,"Data is linked, de-identified, and provided to the researcher in a secure environment",step:custodian:wa-health-data-linkage-services-wa:6,Custodian,6,Data Linkage & Provision,(verify with custodian)
PathwayStep|step:custodian:sa-health-sa-nt-datalink:1,Researcher completes the PHRN online application. 2. Scoping & Feasibility,"SA NT DataLink reviews the application, provides feedback, and prepares a quote and Letter of Feasibility. 3. In-Principle Approval",step:custodian:sa-health-sa-nt-datalink:1,Researcher,1,Initial Inquiry & Application,Data Custodians grant in-principle approval. 4. Ethics Approval - Researcher obtains HREC approval. 5. Final Approval - Researcher submits all documents to Data Custodians for final approval. 6. Linkage Key Creation - SA NT DataLink creates project-specific linkage keys. 7. Data Extraction - Data Custodians extract approved data variables. 8. Data Provision - De-identified data is provided to the researcher.
PathwayStep|step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:1,"Researcher, TDLU","Discussion with TDLU, optional Project Proposal Form, Quote Request (Online Application System)",step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:1,Researcher,1,Design Phase,(verify with custodian)
PathwayStep|step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:2,"Researcher, TDLU, HREC","TDLU Online Application (Expression of Interest), Ethics Application to NHMRC registered HREC (University of Tasmania's HREC via Integrity IQ, or NMA HREC), Department of Health Research Governance Application (REGIS) if applicable",step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:2,Researcher,2,Application Phase,(verify with custodian)
PathwayStep|step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:3,"TDLU, Data Custodians, Researcher","HREC approval uploaded to TDLU online, Data Custodian approvals (managed by TDLU), Data Access Agreement (signed by PI), TDLU final approval",step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:3,Researcher,3,Approvals Phase,(verify with custodian)
PathwayStep|step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:4,"TDLU, Data Custodians","Supply of data for linkage, probabilistic linkage by TDLU, provision of linkage key files to data custodians via Kiteworks",step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:4,Custodian,4,Data Linkage Phase,(verify with custodian)
PathwayStep|step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:5,"Data Custodians, Researcher",Researchers receive de-identified linked data directly from data custodians,step:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:5,Researcher,5,Data Provision Phase,(verify with custodian)
PathwayStep|step:custodian:act-health:1,Researcher,Dataset and variable information can be found on the CHeReL website.,step:custodian:act-health:1,Researcher,1,Plan your study,(verify with custodian)
PathwayStep|step:custodian:act-health:2,Researcher,Forms for NSW and ACT linked data (via CHeReL) or online data request form (for unlinked ACT Health data),step:custodian:act-health:2,Researcher,2,Complete your application forms,(verify with custodian)
PathwayStep|step:custodian:act-health:3,Researcher,Email completed forms to Research Project Managers at moh-cherel@health.nsw.gov.au (for linked data),step:custodian:act-health:3,Researcher,3,Submit your application forms to CHeReL,(verify with custodian)
PathwayStep|step:custodian:act-health:4,CHeReL,Review of project feasibility by Research Project Manager,step:custodian:act-health:4,Custodian,4,Technical feasibility review,(verify with custodian)
PathwayStep|step:custodian:act-health:5,Researcher,"Data custodian approvals, technical feasibility letters, application documents and other supporting documents to the appropriate ethics committee (PHSREC mentioned by CHeReL)",step:custodian:act-health:5,Researcher,5,Submit to the Ethics Committee,(verify with custodian)
PathwayStep|step:custodian:act-health:6,Custodian (ACT Health),Sign off for ACT data sets,step:custodian:act-health:6,EthicsRegulatory,6,Data custodian approval,(verify with custodian)
PathwayStep|step:custodian:act-health:7,Custodian (ACT Health) / CHeReL,Data provided to researcher,step:custodian:act-health:7,Custodian,7,Data provision,(verify with custodian)
PathwayStep|step:custodian:nt-health-nt-health-research-governance-office:1,Researcher,"Data release request form, Appendix A",step:custodian:nt-health-nt-health-research-governance-office:1,Researcher,1,Initial Document Submission,"data specification, HREC applications, research protocol, project proposal, data flow diagram, consent forms, questionnaires, associated documentation - (verify with custodian)"
PathwayStep|step:custodian:nt-health-nt-health-research-governance-office:2,NT Human Research Ethics Committees,Relevant and current HREC approvals,step:custodian:nt-health-nt-health-research-governance-office:2,EthicsRegulatory,2,Ethical Approval,(verify with custodian)
PathwayStep|step:custodian:nt-health-nt-health-research-governance-office:3,NT Health,Research data release application,step:custodian:nt-health-nt-health-research-governance-office:3,EthicsRegulatory,3,Data Owner Approval,(verify with custodian)
PathwayStep|step:custodian:nt-health-nt-health-research-governance-office:4,Researcher,"Relevant and current HREC approvals, Appendix B",step:custodian:nt-health-nt-health-research-governance-office:4,Researcher,4,Final Document Submission for Release,"deed of confidentiality and compliance, Appendix C - conditions of publication (if relevant) - (verify with custodian)"
PathwayStep|step:custodian:nt-health-nt-health-research-governance-office:5,NT Health Data Quality and Governance Unit,Approved data,step:custodian:nt-health-nt-health-research-governance-office:5,EthicsRegulatory,5,Data Release,Simple request: < 2 months; Complex request: up to 12 months
PathwayStep|step:custodian:phrn:1,Researcher,Research question and data needs,step:custodian:phrn:1,Researcher,1,Consultation,(verify with custodian)
PathwayStep|step:custodian:phrn:2,Researcher,Expression of interest (EOI) or quote request using the PHRN Online Application System (OAS),step:custodian:phrn:2,Researcher,2,Application,(verify with custodian)
PathwayStep|step:custodian:phrn:3,"Data custodians, Ethics Committee","Conditional approval from data custodians, technical feasibility letter from DLU, ethics approval",step:custodian:phrn:3,EthicsRegulatory,3,Approval,(verify with custodian)
PathwayStep|step:custodian:phrn:4,Data Linkage Units (DLUs),Linkage of health and human services datasets,step:custodian:phrn:4,Custodian,4,Data linkage,(verify with custodian)
PathwayStep|step:custodian:phrn:5,Researcher,Access to linked data in a secure access environment,step:custodian:phrn:5,Researcher,5,Data access and analysis,(verify with custodian)
PathwayStep|step:custodian:phrn:6,Researcher,Data sharing agreement/s outlining approvals and acknowledgement statements,step:custodian:phrn:6,Researcher,6,Publication,(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:1,Researcher,"National Ethics Application Form/s, approval letter/s from Human Research Ethics Committee",step:custodian:sure-secure-unified-research-environment:1,Researcher,1,Obtain and submit Ethics Approval(s) (required),(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:2,Researcher,Approval/s from data custodian for use of the data in the research study,step:custodian:sure-secure-unified-research-environment:2,Researcher,2,Obtain and submit Data Custodian Approval(s) (required),(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:3,Researcher,(verify with custodian),step:custodian:sure-secure-unified-research-environment:3,Researcher,3,Each investigator to complete SURE training,(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:4,Research Organisation and Sax Institute,General Terms for SURE Access,step:custodian:sure-secure-unified-research-environment:4,Custodian,4,Research Organisation Head Agreement with SURE,(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:5,Research Organisation and Sax Institute,Service Terms for each project,step:custodian:sure-secure-unified-research-environment:5,Custodian,5,SURE Virtual Project Workspace Registration Form,(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:6,Researcher,SURE Access Terms,step:custodian:sure-secure-unified-research-environment:6,Researcher,6,User Deeds,(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:7,Sax Institute,Based upon service terms requested in the Virtual Workspace Application and number of users training Online,step:custodian:sure-secure-unified-research-environment:7,Custodian,7,SURE Invoice generated,(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:8,Researcher,"Citrix Receiver, Digital Client Certificate & Internet Browser (Mozilla, Safari or Chrome)",step:custodian:sure-secure-unified-research-environment:8,Researcher,8,Project Requirements to access SURE,(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:9,Sax Institute,"Unique username, password & Yubikey",step:custodian:sure-secure-unified-research-environment:9,Custodian,9,Credentials for accessing SURE,(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:10,Sax Institute,(verify with custodian),step:custodian:sure-secure-unified-research-environment:10,Custodian,10,Delegation of review permission for the SURE curated gateway,(verify with custodian)
PathwayStep|step:custodian:sure-secure-unified-research-environment:11,Researcher/Sax Institute,(verify with custodian),step:custodian:sure-secure-unified-research-environment:11,Researcher,11,"Ongoing (project amendments, User support, user changes, data updates, Annual renewal of user charges etc.)",(verify with custodian)
PathwayStep|step:custodian:abs-datalab:1,Researcher/Organisation,"Organisation Responsible Officer Undertaking (ROU), Researcher commitment to confidentiality, Project for statistical/research purposes and public benefit",step:custodian:abs-datalab:1,Researcher,1,Ensure you meet requirements,(verify with custodian)
PathwayStep|step:custodian:abs-datalab:2,Researcher,"myDATA Portal registration, agreement to Conditions of use, account authentication",step:custodian:abs-datalab:2,Researcher,2,Register and activate account,(verify with custodian)
PathwayStep|step:custodian:abs-datalab:3,Researcher,myDATA user portal project proposal,step:custodian:abs-datalab:3,Researcher,3,Submit project proposal,(verify with custodian)
PathwayStep|step:custodian:abs-datalab:4,Researcher,"Individual Undertaking and DataLab Declaration of Compliance, DataLab quiz, additional documents (if requested)",step:custodian:abs-datalab:4,Researcher,4,Complete DataLab safe onboarding,(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:1,Researcher,"Clear, well-defined research question/s or aims",step:custodian:aihw-data-integration-services:1,Researcher,1,Prepare,(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:2,Researcher,Research proposal outlining project details,step:custodian:aihw-data-integration-services:2,Researcher,2,Research proposal,(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:3,Researcher/Custodian,Approval from relevant data custodians,step:custodian:aihw-data-integration-services:3,Researcher,3,Data custodian approvals,(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:4,Researcher/Ethics Committee,HREC approval,step:custodian:aihw-data-integration-services:4,Researcher,4,Ethics committee approvals,(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:5,Custodian,Public Interest Certificate (if required),step:custodian:aihw-data-integration-services:5,Custodian,5,Public Interest Certificate,(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:6,Researcher/Custodian,Access to a suitable analysis environment,step:custodian:aihw-data-integration-services:6,Researcher,6,Suitable analysis environment,(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:7,Custodian,Data linkage performed by AIHW,step:custodian:aihw-data-integration-services:7,Custodian,7,Linkage,(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:8,Custodian,Secure transfer of linked data,step:custodian:aihw-data-integration-services:8,Custodian,8,Secure data file transfer,(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:9,Researcher,Analysis and reporting of results,step:custodian:aihw-data-integration-services:9,Researcher,9,"Merge, analyse, interpret, report",(verify with custodian)
PathwayStep|step:custodian:aihw-data-integration-services:10,Researcher/Custodian,Destruction of data and project closure,step:custodian:aihw-data-integration-services:10,Researcher,10,Destroy data and close project,(verify with custodian)
PathwayStep|step:custodian:adha:1,researcher,(verify with custodian),step:custodian:adha:1,Researcher,1,Initial Inquiry,(verify with custodian)
PathwayStep|step:custodian:adha:2,researcher,(verify with custodian for forms/portal),step:custodian:adha:2,Researcher,2,Application Submission,(verify with custodian)
PathwayStep|step:custodian:adha:3,My Health Record Data Governance Board (still to be established),"Application meeting privacy, assurance, and risk mitigation requirements",step:custodian:adha:3,EthicsRegulatory,3,Data Governance Board Review,(verify with custodian)
PathwayStep|step:custodian:adha:4,ethics committee,(strict ethics approvals for identified data),step:custodian:adha:4,EthicsRegulatory,4,Ethics Approval,(verify with custodian)
PathwayStep|step:custodian:adha:5,Australian Institute of Health and Welfare (AIHW),De-identified or identified data (with consent),step:custodian:adha:5,Custodian,5,Data Provision,"(release only after necessary infrastructure is in place, verify timeline)"
PathwayStep|step:custodian:phn-cooperative-primary-health-insights:1,researcher,Contact PHN Cooperative Executive Officer (execoffice@phncooperative.org.au),step:custodian:phn-cooperative-primary-health-insights:1,Researcher,1,Initial Inquiry,(verify with custodian)
PathwayStep|step:custodian:phn-cooperative-primary-health-insights:2,researcher,(verify specific forms/portal with custodian),step:custodian:phn-cooperative-primary-health-insights:2,Researcher,2,Data Request Submission,(verify with custodian)
PathwayStep|step:custodian:phn-cooperative-primary-health-insights:3,custodian (PHN Cooperative National Data Governance Committee),Compliance with PHN National Data Governance Policy and Framework,step:custodian:phn-cooperative-primary-health-insights:3,EthicsRegulatory,3,Data Governance Review,(verify with custodian)
PathwayStep|step:custodian:phn-cooperative-primary-health-insights:4,researcher/ethics committee,Approval from relevant HREC/ethics body (verify with custodian),step:custodian:phn-cooperative-primary-health-insights:4,Researcher,4,Ethics Approval,(verify with custodian)
