node_element_id,labels,primary_label,business_id,name,properties_json
PathwayStep|step:custodian:aihw:7,PathwayStep,PathwayStep,step:custodian:aihw:7,,"{""actor"": ""custodian"", ""channel"": ""data provided via secure environment"", ""id"": ""step:custodian:aihw:7"", ""lane"": ""Custodian"", ""stepNumber"": 7, ""text"": ""Data Provision"", ""timeline"": ""2 weeks to several months (depending on complexity)""}"
"SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw,",SourceURL,SourceURL,,,"{""url"": ""https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw,""}"
SourceURL|https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request,SourceURL,SourceURL,,,"{""url"": ""https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request""}"
"SourceURL|https://www.aihw.gov.au/about-our-data/data-governance,",SourceURL,SourceURL,,,"{""url"": ""https://www.aihw.gov.au/about-our-data/data-governance,""}"
"SourceURL|https://www.aihw.gov.au/about-our-data/our-data-collections,",SourceURL,SourceURL,,,"{""url"": ""https://www.aihw.gov.au/about-our-data/our-data-collections,""}"
"SourceURL|https://www.aihw.gov.au/getmedia/3117bc9c-46ee-4891-a423-2ec0d66e12e7/aihw-data-governance-framework-2022.pdf.aspx,",SourceURL,SourceURL,,,"{""url"": ""https://www.aihw.gov.au/getmedia/3117bc9c-46ee-4891-a423-2ec0d66e12e7/aihw-data-governance-framework-2022.pdf.aspx,""}"
Dataset|dataset:national-health-and-welfare-data-collections,Dataset,Dataset,dataset:national-health-and-welfare-data-collections,National Health and Welfare Data Collections,"{""description"": ""Over 150 datasets covering diverse fields like health, welfare, aged care, disability, and Indigenous health"", ""id"": ""dataset:national-health-and-welfare-data-collections"", ""identifiable"": """", ""linkable"": """", ""name"": ""National Health and Welfare Data Collections""}"
Dataset|dataset:australian-cancer-database,Dataset,Dataset,dataset:australian-cancer-database,Australian Cancer Database,"{""description"": ""National data on cancer incidence and mortality"", ""id"": ""dataset:australian-cancer-database"", ""identifiable"": """", ""linkable"": """", ""name"": ""Australian Cancer Database""}"
Dataset|dataset:national-death-index,Dataset,Dataset,dataset:national-death-index,National Death Index,"{""description"": ""National data on causes of death"", ""id"": ""dataset:national-death-index"", ""identifiable"": """", ""linkable"": """", ""name"": ""National Death Index""}"
Dataset|dataset:national-hospitals-data-collection,Dataset,Dataset,dataset:national-hospitals-data-collection,National Hospitals Data Collection,"{""description"": ""Data on hospitalisations and procedures"", ""id"": ""dataset:national-hospitals-data-collection"", ""identifiable"": """", ""linkable"": """", ""name"": ""National Hospitals Data Collection""}"
Dataset|dataset:national-aged-care-data-clearinghouse,Dataset,Dataset,dataset:national-aged-care-data-clearinghouse,National Aged Care Data Clearinghouse,"{""description"": ""Data related to aged care services"", ""id"": ""dataset:national-aged-care-data-clearinghouse"", ""identifiable"": """", ""linkable"": """", ""name"": ""National Aged Care Data Clearinghouse""}"
Dataset|dataset:specialist-homelessness-services-collection,Dataset,Dataset,dataset:specialist-homelessness-services-collection,Specialist Homelessness Services Collection,"{""description"": ""Data on homelessness services"", ""id"": ""dataset:specialist-homelessness-services-collection"", ""identifiable"": """", ""linkable"": """", ""name"": ""Specialist Homelessness Services Collection""}"
Dataset|dataset:national-key-performance-indicators-for-first-nations-specific-primary-health-care,Dataset,Dataset,dataset:national-key-performance-indicators-for-first-nations-specific-primary-health-care,National Key Performance Indicators for First Nations-specific primary health care,"{""description"": ""Data on health outcomes for First Nations people"", ""id"": ""dataset:national-key-performance-indicators-for-first-nations-specific-primary-health-care"", ""identifiable"": """", ""linkable"": """", ""name"": ""National Key Performance Indicators for First Nations-specific primary health care""}"
Custodian|custodian:australian-bureau-of-statistics,Custodian,Custodian,custodian:australian-bureau-of-statistics,Australian Bureau of Statistics,"{""contactAndApplicationPortal"": ""microdata.access@abs.gov.au, https://www.abs.gov.au/registration, https://mydata.abs.gov.au/"", ""ethicsAndGovernanceRequirements"": ""Approval from a registered Human Research Ethics Committee (HREC) is required for all DataLab projects. Access to and use of ABS data is governed by the Census and Statistics Act 1905 and the Census and Statistics (Information Release and Access) Determination 2018. The ABS uses the Five Safes Framework (Safe People, Safe Projects, Safe Settings, Safe Data, Safe Outputs) to manage data access and mitigate disclosure risk."", ""fullPathwayCardMarkdown"": ""## Pathway Card: Australian Bureau of Statistics\n\n**Custodian Type:** Commonwealth\n\n**Jurisdiction:** Commonwealth\n\n**Primary Role:** The Australian Bureau of Statistics (ABS) is Australia's national statistical agency, responsible for the collection and dissemination of a wide range of statistics. It is a primary custodian for health data collected through national surveys, the Census of Population and Housing, and causes of death data, providing access to detailed microdata for research and analysis through services like TableBuilder and the DataLab.\n\n**Key Data Holdings:**\n| Dataset Name | Description | Identifiable? | Linkable? |\n| :--- | :--- | :--- | :--- |\n| National Health Survey | Provides a rich source of information on a wide range of health conditions, risk factors, and health service use. | No (CURF) | Yes (in DataLab) |\n| National Aboriginal and Torres Strait Islander Health Survey | Collects information about the health of Aboriginal and Torres Strait Islander people, including long-term health conditions, risk factors, and social and emotional wellbeing. | No (CURF) | Yes (in DataLab) |\n| Australian Health Survey | A comprehensive survey that collected a range of information about health status, risk factors, and health service use. | No (CURF) | Yes (in DataLab) |\n| Disability, Ageing and Carers, Australia | Provides information about disability prevalence, the need for support, and the provision of care in Australia. | No (CURF) | Yes (in DataLab) |\n| Causes of Death, Australia | Contains information on all deaths registered in Australia, including demographic information and cause of death. | No (CURF) | Yes (in DataLab) |\n| Census of Population and Housing | Provides a snapshot of Australia's people and their housing, with some health-related information. | No (CURF) | Yes (in DataLab) |\n\n**Data Access Pathway — Step by Step:**\n1. **Determine Data Needs & Service** - Researcher - Review available microdata and choose between TableBuilder (for custom tables) and DataLab (for in-depth analysis) - 1-2 weeks\n2. **Register as a User** - Researcher - Register for an account in the ABS Registration Centre - 1-2 days\n3. **Submit Project Proposal (DataLab only)** - Researcher - Submit a detailed project proposal via the myDATA portal, outlining the research project, data requirements, and justification - 2-4 weeks\n4. **Project Assessment (DataLab only)** - Custodian - The ABS assesses the project proposal against the Five Safes framework - 4-8 weeks (verify with custodian)\n5. **Sign Undertakings** - Researcher - Sign an individual undertaking to use the data responsibly - 1 week\n6. **Access Data** - Researcher - Access data via TableBuilder or the secure DataLab environment - Immediate (TableBuilder) or upon project approval (DataLab)\n\n**Ethics and Governance Requirements:**\n- **HREC Approval:** Approval from a registered Human Research Ethics Committee (HREC) is required for all DataLab projects.\n- **Legislation:** Access to and use of ABS data is governed by the *Census and Statistics Act 1905* and the *Census and Statistics (Information Release and Access) Determination 2018*.\n- **Data Governance Framework:** The ABS uses the Five Safes Framework (Safe People, Safe Projects, Safe Settings, Safe Data, Safe Outputs) to manage data access and mitigate disclosure risk.\n\n**Trusted Research Environment (TRE) / Secure Access:**\n- **TRE:** The ABS DataLab is a secure Trusted Research Environment (TRE) for accessing detailed microdata.\n- **Platform:** ABS DataLab\n- **Access:** Remote access is provided to approved users from approved organisations.\n\n**Contact and Application Portal:**\n- **Primary Contact:** microdata.access@abs.gov.au\n- **Application Portal:** [ABS Registration Centre](https://www.abs.gov.au/registration) and [myDATA](https://mydata.abs.gov.au/)\n\n**Indicative Timeline:**\n| Stage | Typical Duration |\n| :--- | :--- |\n| Project Proposal and Assessment | 6-12 weeks (verify with custodian) |\n| Data Access | 1-2 weeks after approval |\n\n**Known Gaps / Verify with Custodian:**\n- Specific timelines for project assessment can vary depending on complexity.\n- Costs associated with DataLab access should be confirmed with the ABS.\n- Availability of specific data items and the feasibility of data linkage for a given project should be discussed with the ABS.\n\n**Connections to Other Custodians / Pathways:**\n- The ABS frequently collaborates with other data custodians, such as the Australian Institute of Health and Welfare (AIHW), Services Australia (for MBS/PBS data), and state and territory health departments, to enable data linkage projects.\n\n**Source URLs:**\n- https://www.abs.gov.au/statistics/microdata-tablebuilder\n- https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder\n- https://www.abs.gov.au/statistics/microdata-tablebuilder/responsible-use-abs-microdata"", ""gapsVerifyWithCustodian"": ""- Specific timelines for project assessment can vary depending on complexity.\n- Costs associated with DataLab access should be confirmed with the ABS.\n- Availability of specific data items and the feasibility of data linkage for a given project should be discussed with the ABS."", ""id"": ""custodian:australian-bureau-of-statistics"", ""indicativeTimeline"": ""Project Proposal and Assessment: 6-12 weeks (verify with custodian); Data Access: 1-2 weeks after approval"", ""mdPathwayCardMarkdown"": ""**Custodian Type:** TRE/SDE, Commonwealth\n\n**Jurisdiction:** Commonwealth\n\n**Primary Role:** The ABS DataLab provides a secure research environment for high-end users to undertake complex analysis of detailed microdata for statistical research or modelling, contributing to public benefit.\n\n**Key Data Holdings:**\n\n| Dataset Name | Description | Identifiable? | Linkable? |\n|---|---|---|---|\n| Census | Detailed population and housing data | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Health | Data from health surveys and administrative sources | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Education | Data related to educational outcomes and participation | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Labour Force | Employment, unemployment, and labour market statistics | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Aboriginal and Torres Strait Islander Peoples | Data specific to Indigenous Australians | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Migrants | Data related to migration and settlement | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Crime | Data on criminal justice and victimisation | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Business | Data on Australian businesses and economic activity | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Disabilities, Ageing and Carers | Data on individuals with disabilities, older persons, and carers | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| ABS Survey Results | Microdata from various ABS surveys | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Administrative Data | Data collected by other organisations | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n| Integrated Datasets | Datasets linked from multiple sources | No (direct identifiers removed) | Yes (within DataLab, verify with custodian) |\n\n**Data Access Pathway — Step by Step:**\n\n1.  **Ensure you meet requirements** — Researcher/Organisation — Organisation Responsible Officer Undertaking (ROU), Researcher commitment to confidentiality, Project for statistical/research purposes and public benefit — (verify with custodian)\n2.  **Register and activate account** — Researcher — myDATA Portal registration, agreement to Conditions of use, account authentication — (verify with custodian)\n3.  **Submit project proposal** — Researcher — myDATA user portal project proposal — (verify with custodian)\n4.  **Complete DataLab safe onboarding** — Researcher — Individual Undertaking and DataLab Declaration of Compliance, DataLab quiz, additional documents (if requested) — (verify with custodian)\n\n**Ethics and Governance Requirements:**\nProjects must be for statistical and/or research purposes and provide public benefit. Projects for or about Aboriginal and/or Torres Strait Islander peoples may be subject to a Cultural Review by the Centre of Aboriginal and Torres Strait Islander Statistics at the ABS. Some projects also require consideration and approval by data custodians. The ABS DataLab operates under the Five Safes Framework, ensuring data confidentiality and security.\n\n**Trusted Research Environment (TRE) / Secure Access:**\nTRE required: Yes\nWhich TRE platform: ABS DataLab (hosted in Microsoft Azure)\nRemote access or on-site only: Remote access (unless approved by ABS to access from overseas)\n\n**Contact and Application Portal:**\nPrimary contact: myDATA Portal Team, mydataportal@abs.gov.au\nApplication portal URL: https://www.abs.gov.au/statistics/microdata-tablebuilder/datalab (Login via myDATA Portal)\nKey documents / forms: Responsible Officer Undertaking (ROU), Individual Undertaking and DataLab Declaration of Compliance, DataLab Referral (if needed) — (URLs not explicitly provided, verify with custodian)\n\n**Indicative Timeline:**\nStage: (Not explicitly stated, verify with custodian) | Typical Duration: (Not explicitly stated, verify with custodian)\n\n**Known Gaps / Verify with Custodian:**\n*   Specific forms and their direct URLs for ROU, Individual Undertaking, and DataLab Referral.\n*   Detailed indicative timelines for each step of the access pathway.\n*   Exact criteria for when a project is considered 'identifiable' or 'linkable' beyond the general statement of direct identifiers being removed.\n*   Specific requirements for international researchers accessing microdata from overseas.\n\n**Connections to Other Custodians / Pathways:**\nOther data custodians (for integrated datasets and project approvals)\n\n**Source URLs:**\nhttps://www.abs.gov.au/statistics/microdata-tablebuilder/datalab\n\n---"", ""name"": ""Australian Bureau of Statistics"", ""primaryRole"": ""The Australian Bureau of Statistics (ABS) is Australia's national statistical agency, responsible for the collection and dissemination of a wide range of statistics. It is a primary custodian for health data collected through national surveys, the Census of Population and Housing, and causes of death data, providing access to detailed microdata for research and analysis through services like TableBuilder and the DataLab."", ""subject"": ""ABS — Australian Bureau of Statistics (Commonwealth statistical agency holding health surveys, census, causes of death, microdata via TableBuilder and DataLab)"", ""treSecureAccessPlatform"": ""ABS DataLab, remote access""}"
ProcessLine|line:custodian:australian-bureau-of-statistics,ProcessLine,ProcessLine,line:custodian:australian-bureau-of-statistics,Australian Bureau of Statistics,"{""id"": ""line:custodian:australian-bureau-of-statistics"", ""name"": ""Australian Bureau of Statistics""}"
PathwayStep|step:custodian:australian-bureau-of-statistics:1,PathwayStep,PathwayStep,step:custodian:australian-bureau-of-statistics:1,,"{""actor"": ""Researcher"", ""channel"": ""Review available microdata and choose between TableBuilder (for custom tables) and DataLab (for in-depth analysis)"", ""id"": ""step:custodian:australian-bureau-of-statistics:1"", ""lane"": ""Researcher"", ""stepNumber"": 1, ""text"": ""Determine Data Needs & Service"", ""timeline"": ""1-2 weeks""}"
PathwayStep|step:custodian:australian-bureau-of-statistics:2,PathwayStep,PathwayStep,step:custodian:australian-bureau-of-statistics:2,,"{""actor"": ""Researcher"", ""channel"": ""Register for an account in the ABS Registration Centre"", ""id"": ""step:custodian:australian-bureau-of-statistics:2"", ""lane"": ""Researcher"", ""stepNumber"": 2, ""text"": ""Register as a User"", ""timeline"": ""1-2 days""}"
PathwayStep|step:custodian:australian-bureau-of-statistics:3,PathwayStep,PathwayStep,step:custodian:australian-bureau-of-statistics:3,,"{""actor"": ""Researcher"", ""channel"": ""Submit a detailed project proposal via the myDATA portal, outlining the research project, data requirements, and justification"", ""id"": ""step:custodian:australian-bureau-of-statistics:3"", ""lane"": ""Researcher"", ""stepNumber"": 3, ""text"": ""Submit Project Proposal (DataLab only)"", ""timeline"": ""2-4 weeks""}"
PathwayStep|step:custodian:australian-bureau-of-statistics:4,PathwayStep,PathwayStep,step:custodian:australian-bureau-of-statistics:4,,"{""actor"": ""Custodian"", ""channel"": ""The ABS assesses the project proposal against the Five Safes framework"", ""id"": ""step:custodian:australian-bureau-of-statistics:4"", ""lane"": ""Custodian"", ""stepNumber"": 4, ""text"": ""Project Assessment (DataLab only)"", ""timeline"": ""4-8 weeks (verify with custodian)""}"
PathwayStep|step:custodian:australian-bureau-of-statistics:5,PathwayStep,PathwayStep,step:custodian:australian-bureau-of-statistics:5,,"{""actor"": ""Researcher"", ""channel"": ""Sign an individual undertaking to use the data responsibly"", ""id"": ""step:custodian:australian-bureau-of-statistics:5"", ""lane"": ""Researcher"", ""stepNumber"": 5, ""text"": ""Sign Undertakings"", ""timeline"": ""1 week""}"
PathwayStep|step:custodian:australian-bureau-of-statistics:6,PathwayStep,PathwayStep,step:custodian:australian-bureau-of-statistics:6,,"{""actor"": ""Researcher"", ""channel"": ""Access data via TableBuilder or the secure DataLab environment"", ""id"": ""step:custodian:australian-bureau-of-statistics:6"", ""lane"": ""Researcher"", ""stepNumber"": 6, ""text"": ""Access Data"", ""timeline"": ""Immediate (TableBuilder) or upon project approval (DataLab)""}"
"SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder,",SourceURL,SourceURL,,,"{""url"": ""https://www.abs.gov.au/statistics/microdata-tablebuilder,""}"
"SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder,",SourceURL,SourceURL,,,"{""url"": ""https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder,""}"
SourceURL|https://www.abs.gov.au/statistics/microdata-tablebuilder/responsible-use-abs-microdata,SourceURL,SourceURL,,,"{""url"": ""https://www.abs.gov.au/statistics/microdata-tablebuilder/responsible-use-abs-microdata""}"
Dataset|dataset:census,Dataset,Dataset,dataset:census,Census,"{""description"": ""Detailed population and housing data"", ""id"": ""dataset:census"", ""identifiable"": ""No (direct identifiers removed)"", ""linkable"": ""Yes (within DataLab, verify with custodian)"", ""name"": ""Census""}"
