node_element_id,actor,channel,id,lane,stepNumber,text,timeline
4:699adb08-f1e5-4be8-b17b-792b62a6747d:681,AIHW,Not publicly available,step:custodian:australian-digital-health-agency:4,Custodian,4,Data Release,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:682,Researcher,Health Data Extract Initial Request Form (PDF/Word versions available on dataportal.health.gov.au),step:custodian:australian-government-department-of-health-and-aged-care:1,Researcher,1,Initial Request Form Submission,~1 week
4:699adb08-f1e5-4be8-b17b-792b62a6747d:683,Department of Health and Aged Care / Researcher,Follow-up form emailed to researcher,step:custodian:australian-government-department-of-health-and-aged-care:2,Researcher,2,Detailed Assessment and Follow-up Form,"Varies, depending on complexity; assessment panel meets monthly; ~3 weeks for governance stage; ~3 weeks for data extraction"
4:699adb08-f1e5-4be8-b17b-792b62a6747d:684,Department of Health and Aged Care,N/A,step:custodian:australian-government-department-of-health-and-aged-care:3,EthicsRegulatory,3,Final Approval and Data Extraction,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:685,Researcher,Health Data Portal (dataportal.health.gov.au),step:custodian:australian-government-department-of-health-and-aged-care:4,Researcher,4,Data Extraction by Researcher,2-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:686,Researcher,N/A,step:custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies:1,Researcher,1,Develop research proposal,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:687,Researcher,AIATSIS Research Ethics Portal (https://ethics.aiatsis.gov.au/),step:custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies:2,Researcher,2,Submit ethics application,1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:688,AIATSIS Research Ethics Committee Secretariat,AIATSIS Research Ethics Portal,step:custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies:3,EthicsRegulatory,3,Preliminary review,2-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:689,AIATSIS Research Ethics Committee,AIATSIS Research Ethics Portal,step:custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies:4,EthicsRegulatory,4,Committee review,4-6 weeks (dependent on meeting schedule)
4:699adb08-f1e5-4be8-b17b-792b62a6747d:690,AIATSIS,N/A,step:custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies:5,Custodian,5,Outcome and data access,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:741,Researcher,Project proposal form (via AIHW website),step:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:1,Researcher,1,Submit project proposal form,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:742,"AIHW Data Custodian, AIHW Ethics Committee secretary, NHDH Advisory Committee, other data custodians",Internal review process,step:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:2,EthicsRegulatory,2,Project proposal reviewed and assessed,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:743,AIHW,N/A,step:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:3,EthicsRegulatory,3,Approval obtained,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:744,"Researcher, AIHW",N/A,step:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:4,Researcher,4,Onboarding training and secure access setup,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:745,Researcher,Output Clearance Request Form (via AIHW website),step:custodian:australian-institute-of-health-and-welfare-data-integration-services-centre:5,Researcher,5,Submit Output Clearance Request Form for data release,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:691,Researcher,Not specified,step:custodian:australian-institute-of-health-and-welfare:1,Researcher,1,Become an accredited user,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:692,Researcher,Dataplace (specific URL not provided),step:custodian:australian-institute-of-health-and-welfare:2,Researcher,2,Submit request via Dataplace,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:693,Researcher,Email address provided in data collections,step:custodian:australian-institute-of-health-and-welfare:3,Researcher,3,Contact experts,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:694,Researcher,Data on request form (specific URL not provided),step:custodian:australian-institute-of-health-and-welfare:4,Researcher,4,Complete data on request form,Varies For DATA Scheme requests:
4:699adb08-f1e5-4be8-b17b-792b62a6747d:723,Researcher,Health Data Australia catalogue (https://researchdata.edu.au/health/),step:custodian:australian-research-data-commons:1,Researcher,1,Find data of use to your research by searching the catalogue.,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:724,Researcher,Data Provider contact information in catalogue,step:custodian:australian-research-data-commons:2,Researcher,2,Enquire (if required). Contact the Data Provider directly for more information.,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:725,Researcher,"Health Data Australia ""Access the data"" button and data request form (requires AAF credentials)",step:custodian:australian-research-data-commons:3,Researcher,3,Request access to the data via “Access the data” on the record view page and complete the data request form. The request is sent to the data provider to review.,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:726,Data Provider,N/A,step:custodian:australian-research-data-commons:4,Custodian,4,"Data provider agrees and the request is approved, they will arrange access to the data.",Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:727,Researcher,myHDA (https://researchdata.edu.au/health/myhda),step:custodian:australian-research-data-commons:5,Researcher,5,Keep track of access to data requests via myHDA.,Ongoing
4:699adb08-f1e5-4be8-b17b-792b62a6747d:750,Researcher & Cancer Institute NSW Data Custodian,Email to CINSW-DARenquiries@health.nsw.gov.au,step:custodian:cancer-institute-nsw:1,Researcher,1,Initial Inquiry and Data Custodian Approval,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:751,Researcher,"NSW PHSREC website (documentation listed there), submission to CINSW-DARenquiries@health.nsw.gov.au",step:custodian:cancer-institute-nsw:2,Researcher,2,Documentation Submission for Ethical Review,4-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:752,Cancer Institute NSW,Not specified (secure transfer implied),step:custodian:cancer-institute-nsw:3,Custodian,3,Data Release,Approximately one month after approval.
4:699adb08-f1e5-4be8-b17b-792b62a6747d:816,Researcher,CHeReL website for dataset and variable information,step:custodian:centre-for-health-record-linkage:1,Researcher,1,Plan your study,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:817,Researcher,CheckApp for Expression of Interest and application forms,step:custodian:centre-for-health-record-linkage:2,Researcher,2,Start your application,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:818,Researcher,Email to Research Project Managers (MOH-CHeReL@health.nsw.gov.au),step:custodian:centre-for-health-record-linkage:3,Researcher,3,Submit your application forms to CHeReL,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:819,CHeReL Research Project Manager,Internal CHeReL process,step:custodian:centre-for-health-record-linkage:4,Custodian,4,Technical feasibility review,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:820,CHeReL on behalf of Researcher,Internal CHeReL process,step:custodian:centre-for-health-record-linkage:5,Researcher,5,Data custodian approval,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:821,Researcher,PHSREC (Population Health Services Research Ethics Committee),step:custodian:centre-for-health-record-linkage:6,Researcher,6,Ready for the Ethics Committee,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:822,Researcher,Email approval letter and documents to CHeReL,step:custodian:centre-for-health-record-linkage:7,Researcher,7,Notify the CHeReL of your approval,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:760,Researcher,"CVDL online application form (URL not explicitly provided, but implied to be on vahi.vic.gov.au/ourwork/data-linkage/apply)",step:custodian:centre-for-victorian-data-linkage:1,Researcher,1,Submit online application,3-6 months
4:699adb08-f1e5-4be8-b17b-792b62a6747d:761,CVDL,None,step:custodian:centre-for-victorian-data-linkage:2,Custodian,2,Application registration and project number allocation,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:762,CVDL,None,step:custodian:centre-for-victorian-data-linkage:3,Custodian,3,Privacy and Five Safes compliance check,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:763,CVDL Client Services and Technical Teams,None,step:custodian:centre-for-victorian-data-linkage:4,Custodian,4,High-level feasibility assessment,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:764,CVDL,None,step:custodian:centre-for-victorian-data-linkage:5,Custodian,5,Provision of likely project delivery timelines and ballpark cost estimate,2-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:765,CVDL Client Services team,CVDL SharePoint site,step:custodian:centre-for-victorian-data-linkage:6,Custodian,6,Access to dedicated secure SharePoint folder for supporting documentation,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:766,CVDL and Researcher,None,step:custodian:centre-for-victorian-data-linkage:7,Researcher,7,Clarification and additional details (if needed),1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:767,CVDL,None,step:custodian:centre-for-victorian-data-linkage:8,Custodian,8,Refined cost quote,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:768,CVDL,None,step:custodian:centre-for-victorian-data-linkage:9,Custodian,9,Scoping and quote for VALT access,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:695,Researcher,Contact DSS Data Governance team or confirm whether AIHW Data Integration Services is the correct intermediary,step:custodian:department-of-social-services:1,Researcher,1,Initial inquiry,1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:696,Researcher,"Submit research proposal, governance materials, and data requirements",step:custodian:department-of-social-services:2,Researcher,2,Project and governance submission,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:697,Researcher/Custodian,Obtain HREC approval and DSS data governance approval where required,step:custodian:department-of-social-services:3,Researcher,3,Ethics and custodian review,4-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:698,Custodian,DSS or AIHW prepares approved extracts for secure access,step:custodian:department-of-social-services:4,Custodian,4,Data preparation and provision,2-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:713,Researcher,Email QUMprogram@safetyandquality.gov.au,step:custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care:1,Researcher,1,Enquire to determine the MedicineInsight data required for your project,1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:714,MedicineInsight (ACSQHC),Not specified,step:custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care:2,Custodian,2,Confirm MedicineInsight data requirements and determine pricing,2-3 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:715,Data Governance Committee,Not specified,step:custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care:3,EthicsRegulatory,3,Project review and approval by independent Data Governance Committee,Committee meets every 2 months
4:699adb08-f1e5-4be8-b17b-792b62a6747d:716,MedicineInsight (ACSQHC),Not specified,step:custodian:medicineinsight-australian-commission-on-safety-and-quality-in-health-care:4,Custodian,4,Grant access to MedicineInsight reports or data,2-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:734,Researcher,Data Request Form available on NACCHO’s website (not a specific URL found),step:custodian:national-aboriginal-community-controlled-health-organisation:1,Researcher,1,Submit written request to NACCHO,Not publicly available;
4:699adb08-f1e5-4be8-b17b-792b62a6747d:735,NACCHO,Internal process,step:custodian:national-aboriginal-community-controlled-health-organisation:2,Custodian,2,Request consideration by NACCHO’s Senior Director for Research and Evaluation,Not publicly available;
4:699adb08-f1e5-4be8-b17b-792b62a6747d:736,Researcher,Data Use Agreement,step:custodian:national-aboriginal-community-controlled-health-organisation:3,Researcher,3,Agree to and abide by the Data Use Agreement,Not publicly available;
4:699adb08-f1e5-4be8-b17b-792b62a6747d:737,Researcher,Written authorization,step:custodian:national-aboriginal-community-controlled-health-organisation:4,Researcher,4,Obtain authorization from appropriate local health officials for identified data,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:728,Researcher,N/A,step:custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs:1,Researcher,1,Develop Research Proposal,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:729,Researcher,N/A,step:custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs:2,Researcher,2,Identify Relevant Data Custodian,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:730,Researcher,Custodian-specific application forms/portals,step:custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs:3,Researcher,3,Apply for Data Access from Custodian,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:731,Researcher,HREC-specific application forms,step:custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs:4,Researcher,4,Submit Research Proposal for HREC Review,2-3 months (initial review)
4:699adb08-f1e5-4be8-b17b-792b62a6747d:732,HREC,N/A,step:custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs:5,EthicsRegulatory,5,HREC Review and Approval,4-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:733,Data Custodian,N/A,step:custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs:6,Custodian,6,Data Provision by Custodian,Varies (post-HREC approval)
4:699adb08-f1e5-4be8-b17b-792b62a6747d:753,Researcher,CHeReL website (Dataset and variable information),step:custodian:nsw-health-ministry-of-health-nsw:1,Researcher,1,Plan your study,1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:754,Researcher,CheckApp (Expression of Interest),step:custodian:nsw-health-ministry-of-health-nsw:2,Researcher,2,Start your application,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:755,Researcher,Email to Research Project Managers,step:custodian:nsw-health-ministry-of-health-nsw:3,Researcher,3,Submit your application forms to CHeReL,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:756,CHeReL Research Project Manager,Not specified,step:custodian:nsw-health-ministry-of-health-nsw:4,Custodian,4,Technical feasibility review,Varies significantly
4:699adb08-f1e5-4be8-b17b-792b62a6747d:757,CHeReL team (on behalf of researcher),Not specified,step:custodian:nsw-health-ministry-of-health-nsw:5,Researcher,5,Data custodian approval,Varies significantly
4:699adb08-f1e5-4be8-b17b-792b62a6747d:758,Researcher,"PHSREC (submission of data custodian approvals, technical feasibility letter, and application documents)",step:custodian:nsw-health-ministry-of-health-nsw:6,Researcher,6,Ready for the Ethics Committee,4-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:759,Researcher,Email (approval letter and documents),step:custodian:nsw-health-ministry-of-health-nsw:7,Researcher,7,Notify the CHeReL of your approval,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:811,Researcher,"Online submission (specific URL not explicitly stated, but implied via RGO email)",step:custodian:nt-health-nt-health-research-governance-office:1,Researcher,1,Initial Inquiry/Application Submission,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:812,NT Health RGO,rgo.health@nt.gov.au,step:custodian:nt-health-nt-health-research-governance-office:2,Custodian,2,RGO Review,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:813,NT HREC,Not publicly available,step:custodian:nt-health-nt-health-research-governance-office:3,EthicsRegulatory,3,Ethics Approval,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:814,NT Health RGO,Not publicly available,step:custodian:nt-health-nt-health-research-governance-office:4,Custodian,4,Organisational Authorisation,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:815,NT Health Data Quality and Governance Unit,datareleaserequests.doh@nt.gov.au,step:custodian:nt-health-nt-health-research-governance-office:5,EthicsRegulatory,5,Data Release Request Team Review and Release,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:717,Researcher and PHRN Client Services team,N/A,step:custodian:population-health-research-network:1,Researcher,1,Consultation,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:718,Researcher,PHRN Online Application System (OAS),step:custodian:population-health-research-network:2,Researcher,2,Application,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:719,"Data custodians, Data Linkage Units (DLUs), Ethics committees",N/A,step:custodian:population-health-research-network:3,EthicsRegulatory,3,Approval,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:720,Data Linkage Units (DLUs),N/A,step:custodian:population-health-research-network:4,Custodian,4,Data linkage,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:721,Researcher,Secure access environment,step:custodian:population-health-research-network:5,Researcher,5,Data access and analysis,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:722,Researcher,N/A,step:custodian:population-health-research-network:6,Researcher,6,Publication,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:699,Researcher,AIHW website (https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request),step:custodian:private-hospital-data-bureau:1,Researcher,1,Initial Inquiry,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:700,Researcher,AIHW website (https://www.aihw.gov.au/about-our-data/our-data-collections),step:custodian:private-hospital-data-bureau:2,Researcher,2,Check Publicly Available Data,1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:701,Researcher,hospitaldata@aihw.gov.au,step:custodian:private-hospital-data-bureau:3,Researcher,3,Contact Experts,1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:702,Researcher,AIHW Data on Request Form (https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request),step:custodian:private-hospital-data-bureau:4,Researcher,4,Complete Data on Request Form,2-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:703,AIHW Ethics Committee,AIHW Ethics Committee application (https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw/data-on-request),step:custodian:private-hospital-data-bureau:5,EthicsRegulatory,5,Ethical Approval (if required),Up to 3 months (quarterly meetings)
4:699adb08-f1e5-4be8-b17b-792b62a6747d:704,AIHW,Not specified (secure transfer),step:custodian:private-hospital-data-bureau:6,Custodian,6,Data Provision,2 weeks to several months (depending on complexity)
4:699adb08-f1e5-4be8-b17b-792b62a6747d:782,Researcher,HeSANDA Queensland Node (DataVerse) or Health Data Australia,step:custodian:queensland-cyber-infrastructure-foundation:1,Researcher,1,Identify relevant datasets,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:783,Researcher,Queensland node request form (for DataVerse login) or Health Data Australia (for national datasets),step:custodian:queensland-cyber-infrastructure-foundation:2,Researcher,2,Submit data request,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:784,Data Custodian,N/A,step:custodian:queensland-cyber-infrastructure-foundation:3,Custodian,3,Data custodian approves access,Varies
4:699adb08-f1e5-4be8-b17b-792b62a6747d:785,Researcher,KeyPoint (https://www.qcif.edu.au/products/keypoint),step:custodian:queensland-cyber-infrastructure-foundation:4,Researcher,4,Access data via KeyPoint TRE,1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:786,Researcher,Email DLQ@health.qld.gov.au (for linked/identifiable data) or HlthStat@health.qld.gov.au (for summary data),step:custodian:queensland-health:1,Researcher,1,Initial Inquiry,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:787,Data Custodian (Queensland Health),Internal process,step:custodian:queensland-health:2,EthicsRegulatory,2,Data Custodian Approval,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:788,SALUD/DLQ,Internal process,step:custodian:queensland-health:3,Custodian,3,Data Linkage (if applicable),Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:789,Researcher,Not publicly available,step:custodian:queensland-health:4,Researcher,4,Data Receipt,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:823,Researcher,PHRN online application system (https://oas.phrn.org.au),step:custodian:sa-health-sa-nt-datalink:1,Researcher,1,Researchers complete a PHRN online application,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:832,Data Custodians,Not publicly available,step:custodian:sa-health-sa-nt-datalink:10,Researcher,10,Resultant file(s) provided to the researcher for analysis,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:824,Researcher/SA NT DataLink,health.santdatalink@sa.gov.au,step:custodian:sa-health-sa-nt-datalink:2,Researcher,2,Clarification and initial inquiries,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:825,SA NT DataLink,Not publicly available,step:custodian:sa-health-sa-nt-datalink:3,Custodian,3,"SA NT DataLink Research Advisory and Metadata (Client Services) Team reviews application, provides feedback, and facilitates meetings",Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:826,Data Custodians,Not publicly available,step:custodian:sa-health-sa-nt-datalink:4,EthicsRegulatory,4,Data Custodians provide conditions and grant 'In Principle' approval,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:827,Researcher,Not publicly available,step:custodian:sa-health-sa-nt-datalink:5,Researcher,5,Researchers apply for ethical approval/s,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:828,Researcher,PHRN Online Application system,step:custodian:sa-health-sa-nt-datalink:6,Researcher,6,Submit completed PHRN Online Application form with full supporting documents to each participating Data Custodian,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:829,SA NT DataLink,Not publicly available,step:custodian:sa-health-sa-nt-datalink:7,EthicsRegulatory,7,SA NT DataLink undertakes final governance review and creates project specific linkage keys,Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:830,Data Custodians,Not publicly available,step:custodian:sa-health-sa-nt-datalink:8,Custodian,8,Data Custodians receive project specific linkage keys (PSLKs),Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:831,Data Custodians,Not publicly available,step:custodian:sa-health-sa-nt-datalink:9,Custodian,9,"Data Custodians extract approved researchable data variables, removing all identifiers",Not publicly available
4:699adb08-f1e5-4be8-b17b-792b62a6747d:833,Researcher,Project Workspace Application Form (downloadable from https://www.saxinstitute.org.au/solutions/sure/apply-for-access-to-sure/),step:custodian:secure-unified-research-environment:1,Researcher,1,Download and complete registration form,1-4 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:834,Sax Institute & Researcher,"Workspace Agreement, ethics approvals",step:custodian:secure-unified-research-environment:2,Researcher,2,Contracting and Ethics,4-12 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:835,Researcher,Four self-paced online modules,step:custodian:secure-unified-research-environment:3,Researcher,3,Complete SURE training,~1 hour
4:699adb08-f1e5-4be8-b17b-792b62a6747d:836,Sax Institute,"Unique username, passphrase, and token to access SURE",step:custodian:secure-unified-research-environment:4,Custodian,4,Start your project,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:705,Researcher & Services Australia,Email to external.information.release@servicesaustralia.gov.au,step:custodian:services-australia:1,Researcher,1,Initial Inquiry & Assessment,1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:706,Researcher & Services Australia,Documents provided by Services Australia,step:custodian:services-australia:2,Researcher,2,Document Completion & Compliance Check,1-2 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:707,Services Australia,Internal process,step:custodian:services-australia:3,Custodian,3,Data Extraction & Review,2-8 weeks
4:699adb08-f1e5-4be8-b17b-792b62a6747d:708,Services Australia,Internal process,step:custodian:services-australia:4,Custodian,4,Quality Assurance & Invoice,2-8 weeks
