relationship_element_id,start_node_element_id,end_node_element_id,score
REVIEW_SUGGESTS|ConnectionReview|review:custodian:vahi:2:australian-institute-of-health-and-welfa|Custodian|custodian:aihw,ConnectionReview|review:custodian:vahi:2:australian-institute-of-health-and-welfa,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:victorian-cancer-registry:1:australian-institute-of-health-and-welfa|Custodian|custodian:aihw,ConnectionReview|review:custodian:victorian-cancer-registry:1:australian-institute-of-health-and-welfa,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:victorian-cancer-registry:2:family-cancer-centres-to-assess-cancer-r|Custodian|custodian:cancer-institute-nsw,ConnectionReview|review:custodian:victorian-cancer-registry:2:family-cancer-centres-to-assess-cancer-r,Custodian|custodian:cancer-institute-nsw,0.48
REVIEW_SUGGESTS|ConnectionReview|review:custodian:victorian-cancer-registry:3:department-of-health-and-human-services-|Custodian|custodian:department-of-health-and-aged-care,ConnectionReview|review:custodian:victorian-cancer-registry:3:department-of-health-and-human-services-,Custodian|custodian:department-of-health-and-aged-care,0.6263
REVIEW_SUGGESTS|ConnectionReview|review:custodian:victorian-cancer-registry:4:victorian-comprehensive-cancer-centre-vc|Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,ConnectionReview|review:custodian:victorian-cancer-registry:4:victorian-comprehensive-cancer-centre-vc,Custodian|custodian:naccho-aboriginal-community-controlled-health-organisations-acchos,0.4768
REVIEW_SUGGESTS|ConnectionReview|review:custodian:centre-for-victorian-data-linkage-cvdl:1:1:population-health-research-net:override|Custodian|custodian:phrn,ConnectionReview|review:custodian:centre-for-victorian-data-linkage-cvdl:1:1:population-health-research-net:override,Custodian|custodian:phrn,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:centre-for-victorian-data-linkage-cvdl:1:2:population-health-research-net:override|Custodian|custodian:australian-bureau-of-statistics,ConnectionReview|review:custodian:centre-for-victorian-data-linkage-cvdl:1:2:population-health-research-net:override,Custodian|custodian:australian-bureau-of-statistics,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:queensland-health:1:statistical-analysis-and-linkage-unit-da|Custodian|custodian:sa-health-sa-nt-datalink,ConnectionReview|review:custodian:queensland-health:1:statistical-analysis-and-linkage-unit-da,Custodian|custodian:sa-health-sa-nt-datalink,0.5127
REVIEW_SUGGESTS|ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:1:department-of-transport-main-roads-wa-in|Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:1:department-of-transport-main-roads-wa-in,Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,0.4748
REVIEW_SUGGESTS|ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:2:1:other-state-and-territory-data:override|Custodian|custodian:aihw,ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:2:1:other-state-and-territory-data:override,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:2:2:other-state-and-territory-data:override|Custodian|custodian:phrn,ConnectionReview|review:custodian:wa-health-data-linkage-services-wa:2:2:other-state-and-territory-data:override,Custodian|custodian:phrn,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:sa-health-sa-nt-datalink:1:australian-government-data-custodians-fo|Custodian|custodian:services-australia,ConnectionReview|review:custodian:sa-health-sa-nt-datalink:1:australian-government-data-custodians-fo,Custodian|custodian:services-australia,0.86
REVIEW_SUGGESTS|ConnectionReview|review:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:1:data-custodians-for-each-dataset-involve|Custodian|custodian:nhmrc-hrecs,ConnectionReview|review:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu:1:data-custodians-for-each-dataset-involve,Custodian|custodian:nhmrc-hrecs,0.96
REVIEW_SUGGESTS|ConnectionReview|review:custodian:act-health:1:1:centre-for-health-record-linka:override|Custodian|custodian:cherel,ConnectionReview|review:custodian:act-health:1:1:centre-for-health-record-linka:override,Custodian|custodian:cherel,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:nt-health-nt-health-research-governance-office:1:1:sa-nt-datalink-for-linked-data:override|Custodian|custodian:sa-health-sa-nt-datalink,ConnectionReview|review:custodian:nt-health-nt-health-research-governance-office:1:1:sa-nt-datalink-for-linked-data:override,Custodian|custodian:sa-health-sa-nt-datalink,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:phrn:1:state-and-territory-data-linkage-units-d|Custodian|custodian:aihw,ConnectionReview|review:custodian:phrn:1:state-and-territory-data-linkage-units-d,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:sure-secure-unified-research-environment:1:1:population-health-research-net:override|Custodian|custodian:phrn,ConnectionReview|review:custodian:sure-secure-unified-research-environment:1:1:population-health-research-net:override,Custodian|custodian:phrn,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:sure-secure-unified-research-environment:1:2:population-health-research-net:override|Custodian|custodian:aihw,ConnectionReview|review:custodian:sure-secure-unified-research-environment:1:2:population-health-research-net:override,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:sure-secure-unified-research-environment:1:3:population-health-research-net:override|Custodian|custodian:cancer-institute-nsw,ConnectionReview|review:custodian:sure-secure-unified-research-environment:1:3:population-health-research-net:override,Custodian|custodian:cancer-institute-nsw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:aihw-data-integration-services:1:services-australia-for-mbs-pbs-data-stat|Custodian|custodian:services-australia,ConnectionReview|review:custodian:aihw-data-integration-services:1:services-australia-for-mbs-pbs-data-stat,Custodian|custodian:services-australia,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:adha:1:australian-institute-of-health-and-welfa|Custodian|custodian:aihw,ConnectionReview|review:custodian:adha:1:australian-institute-of-health-and-welfa,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:adha:2:my-health-record-data-governance-board-i|Custodian|custodian:aihw,ConnectionReview|review:custodian:adha:2:my-health-record-data-governance-board-i,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:phn-cooperative-primary-health-insights:1:individual-primary-health-networks-phns-|Custodian|custodian:aihw,ConnectionReview|review:custodian:phn-cooperative-primary-health-insights:1:individual-primary-health-networks-phns-,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:nhmrc-hrecs:1:1:data-custodians-e-g-aihw-state:override|Custodian|custodian:aihw,ConnectionReview|review:custodian:nhmrc-hrecs:1:1:data-custodians-e-g-aihw-state:override,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:nhmrc-hrecs:1:2:data-custodians-e-g-aihw-state:override|Custodian|custodian:services-australia,ConnectionReview|review:custodian:nhmrc-hrecs:1:2:data-custodians-e-g-aihw-state:override,Custodian|custodian:services-australia,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:nhmrc-hrecs:2:research-institutions-universities-hrecs|Custodian|custodian:cancer-institute-nsw,ConnectionReview|review:custodian:nhmrc-hrecs:2:research-institutions-universities-hrecs,Custodian|custodian:cancer-institute-nsw,0.3662
REVIEW_SUGGESTS|ConnectionReview|review:custodian:nhmrc-hrecs:3:funding-bodies-may-require-hrec-approval|Custodian|custodian:nt-health-nt-health-research-governance-office,ConnectionReview|review:custodian:nhmrc-hrecs:3:funding-bodies-may-require-hrec-approval,Custodian|custodian:nt-health-nt-health-research-governance-office,0.3393
REVIEW_SUGGESTS|ConnectionReview|review:custodian:aiatsis:1:aihw-australian-institute-of-health-and-|Custodian|custodian:aihw,ConnectionReview|review:custodian:aiatsis:1:aihw-australian-institute-of-health-and-,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:aiatsis:2:abs-australian-bureau-of-statistics-for-|Custodian|custodian:australian-bureau-of-statistics,ConnectionReview|review:custodian:aiatsis:2:abs-australian-bureau-of-statistics-for-,Custodian|custodian:australian-bureau-of-statistics,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:aiatsis:3:other-indigenous-community-organisations|Custodian|custodian:nhmrc-hrecs,ConnectionReview|review:custodian:aiatsis:3:other-indigenous-community-organisations,Custodian|custodian:nhmrc-hrecs,0.4516
REVIEW_SUGGESTS|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:1:state-and-territory-health-departments-f|Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:1:state-and-territory-health-departments-f,Custodian|custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit-tdlu,0.4806
REVIEW_SUGGESTS|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:2:australian-institute-of-health-and-welfa|Custodian|custodian:aihw,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:2:australian-institute-of-health-and-welfa,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:3:australian-bureau-of-statistics-abs-for-|Custodian|custodian:australian-bureau-of-statistics,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:3:australian-bureau-of-statistics-abs-for-,Custodian|custodian:australian-bureau-of-statistics,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:4:indigenous-specific-human-research-ethic|Custodian|custodian:nhmrc-hrecs,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:4:indigenous-specific-human-research-ethic,Custodian|custodian:nhmrc-hrecs,0.96
REVIEW_SUGGESTS|ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:5:other-acchos-for-multi-site-studies-or-a|Custodian|custodian:cherel,ConnectionReview|review:custodian:naccho-aboriginal-community-controlled-health-organisations-acchos:5:other-acchos-for-multi-site-studies-or-a,Custodian|custodian:cherel,0.4301
REVIEW_SUGGESTS|ConnectionReview|review:custodian:acsqhc:1:1:aihw-for-broader-health-and-we:override|Custodian|custodian:aihw,ConnectionReview|review:custodian:acsqhc:1:1:aihw-for-broader-health-and-we:override,Custodian|custodian:aihw,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:acsqhc:1:2:aihw-for-broader-health-and-we:override|Custodian|custodian:services-australia,ConnectionReview|review:custodian:acsqhc:1:2:aihw-for-broader-health-and-we:override,Custodian|custodian:services-australia,1.0
REVIEW_SUGGESTS|ConnectionReview|review:custodian:ardc:1:data-providers-universities-medical-rese|Custodian|custodian:wa-health-data-linkage-services-wa,ConnectionReview|review:custodian:ardc:1:data-providers-universities-medical-rese,Custodian|custodian:wa-health-data-linkage-services-wa,0.3968
REVIEW_SUGGESTS|ConnectionReview|review:custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health:1:department-of-social-services-dss-for-da|Custodian|custodian:aihw,ConnectionReview|review:custodian:private-hospital-data-bureau-phdb-via-aihw-department-of-health:1:department-of-social-services-dss-for-da,Custodian|custodian:aihw,1.0
