Custodian Name,Short Name,Custodian Type,Jurisdiction,Primary Role,Key Datasets,Access Pathway Steps,Ethics and Governance Requirements,TRE / Secure Access Platform,Contact and Application Portal,Indicative Timeline,Connections to Other Custodians,Source URLs,Classification Note
Population Health Research Network,PHRN,Cross-jurisdictional,Commonwealth,"The Population Health Research Network (PHRN) is a national research infrastructure that advances innovation through the secure linkage, management, and use of high-quality health and human services data. It provides essential infrastructure for researchers to access and analyze linked data safely and efficiently, equipping them with a competitive edge for transformative, data-driven research.","Administrative data|Information collected as part of service delivery, generally required or authorised by law|De-identified|Yes
Clinical data|Detailed patient records collected and used by health professionals during patient care|De-identified|Yes
Clinical registry data|Systematically collected health-related information on individuals with specific devices, illnesses, or healthcare resources|De-identified|Yes
Project-specific data|Information collected for a particular purpose, such as a survey or specific research project|De-identified|Yes
National Health Data Hub|A linked data asset supported by PHRN|De-identified|Yes
National Disability Data Asset (NDDA)|A linked data asset supported by PHRN|De-identified|Yes
COVID-19 Register|A linked data asset supported by PHRN|De-identified|Yes","Step 1: Consultation | Actor: Researcher and PHRN Client Services team | Form/Portal: N/A | Duration: Not publicly available
Step 2: Application | Actor: Researcher | Form/Portal: PHRN Online Application System (OAS) | Duration: Not publicly available
Step 3: Approval | Actor: Data custodians, Data Linkage Units (DLUs), Ethics committees | Form/Portal: N/A | Duration: Not publicly available
Step 4: Data linkage | Actor: Data Linkage Units (DLUs) | Form/Portal: N/A | Duration: Not publicly available
Step 5: Data access and analysis | Actor: Researcher | Form/Portal: Secure access environment | Duration: Not publicly available
Step 6: Publication | Actor: Researcher | Form/Portal: N/A | Duration: Not publicly available",Researchers are required to apply for ethics approval. The relevant Data Linkage Unit’s (DLU) client services officer will provide guidance on ethics and governance approval requirements. Data sharing agreements outline approvals required for publication and any acknowledgement statements to be included. PHRN is an Australian Government initiative through the National Collaborative Research Infrastructure Strategy (NCRIS).,,"PHRN Online Application System (OAS): https://www.phrn.org.au/data/how-to-apply/
Research enquiries: phrn-oas@uwa.edu.au
General enquiries: phrn@uwa.edu.au",Not publicly available,"AIHW: PHRN supported the development of the National Health Data Hub, which is managed by AIHW.
NSW Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including NSW Health.
WA Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including WA Health.
SA Health/SA NT DataLink: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including SA Health.
Tasmanian DoH/TDLU: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Tasmanian Government Department of Health.
Queensland Health: PHRN delivers coordinated data linkage infrastructure through partners in state governments, including Queensland Government Department of Health.
Department of Health and Aged Care: PHRN receives core funding from the Australian Government’s National Collaborative Research Infrastructure Strategy (NCRIS) program, which is a Department of Health and Aged Care initiative.","https://www.phrn.org.au/about/
https://www.phrn.org.au/data/types-of-data/
https://www.phrn.org.au/data/how-to-apply/
https://www.phrn.org.au/about/our-partners-and-funders/",Standard custodian — no special classification needed
Australian Research Data Commons,ARDC,Data Discovery Service,Commonwealth,"The Australian Research Data Commons (ARDC) accelerates Australian research and innovation by driving excellence in the creation, analysis, and retention of high-quality data assets. It partners with the research community and industry to build leading-edge digital research infrastructure, including Health Data Australia, to provide Australian researchers with a competitive advantage through data.","Clinical Trial Data|Descriptions of clinical trials data from various Australian health research organizations.|De-identified|Yes via trial ID
HeSANDA Datasets|Health Studies Australian National Data Asset datasets, including clinical trials and other health and medical data.|De-identified|Yes via HeSANDA framework
Research Data Australia|A national catalogue for finding, accessing, reusing, and attributing data from over 100 Australian research organizations.|Varies by dataset|Varies by dataset","Step 1: Find data of use to your research by searching the catalogue. | Actor: Researcher | Form/Portal: Health Data Australia catalogue (https://researchdata.edu.au/health/) | Duration: Varies
Step 2: Enquire (if required). Contact the Data Provider directly for more information. | Actor: Researcher | Form/Portal: Data Provider contact information in catalogue | Duration: Varies
Step 3: Request access to the data via “Access the data” on the record view page and complete the data request form. The request is sent to the data provider to review. | Actor: Researcher | Form/Portal: Health Data Australia ""Access the data"" button and data request form (requires AAF credentials) | Duration: Varies
Step 4: Data provider agrees and the request is approved, they will arrange access to the data. | Actor: Data Provider | Form/Portal: N/A | Duration: Varies
Step 5: Keep track of access to data requests via myHDA. | Actor: Researcher | Form/Portal: myHDA (https://researchdata.edu.au/health/myhda) | Duration: Ongoing","ARDC's Trusted Research Environments (TREs) Framework provides principles and standards for governance, infrastructure, and practices to ensure the ethical handling of sensitive data. This framework covers authentication, authorisation, data encryption, and legal compliance. It also references Commonwealth legislation regarding 13 privacy principles and state-specific privacy legislation. The Five Safes framework (safe data, safe projects, safe people, safe settings, safe output) is also highlighted for controlled access to sensitive data. Data de-identification practices are guided by resources such as the CSIRO and OAIC's de-identification decision-making framework and Australian Privacy Principle 2.",,"Health Data Australia application portal: https://researchdata.edu.au/health/
General ARDC contact: services@ardc.edu.au
HeSANDA Node Network Contact Details: https://documentation.ardc.edu.au/hda/hesanda-node-network-contact-details",Not publicly available. The timeline for data receipt is highly variable and depends on the data provider's specific governance requirements and review processes.,"AIHW: Collaboration on the National Health Data Hub (NHDH) to improve access to high-quality health data and a Memorandum of Understanding for a long-term partnership.
ABS: Collaboration on making ABS datasets available for research.
Department of Health and Aged Care: ARDC is supported by the Australian Government through the National Collaborative Research Infrastructure Strategy (NCRIS), which includes initiatives relevant to health data.
NHMRC/HRECs: ARDC's Trusted Research Environments Framework provides principles and standards for governance, infrastructure, and practices to ensure ethical handling of sensitive data, which aligns with HREC requirements.","https://ardc.edu.au/
https://ardc.edu.au/services/health-data-australia/
https://researchdata.edu.au/health/data-access
https://ardc.edu.au/resource/trusted-research-environments-framework/
https://ardc.edu.au/project/secure-eresearch-platform/
https://documentation.ardc.edu.au/hda/hesanda-node-network-contact-details","ARDC is primarily a national research infrastructure provider and a data discovery service, facilitating access to data held by other custodians."
National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),NHMRC / HRECs,Ethics Body,Commonwealth,"The National Health and Medical Research Council (NHMRC) is Australia's leading expert body in health and medical research. It supports health and medical research, provides funding, sets health guidelines, and establishes ethical standards. Human Research Ethics Committees (HRECs) operate under the NHMRC's ethical framework, reviewing research proposals involving human participants to ensure they meet ethical standards and guidelines.","NHMRC Funding Outcomes Data|Statistics on grants awarded by NHMRC, including research area, funding amount, and recipient institution.|De-identified|No
NHMRC Expenditure by Former National Health Priority Areas|Annual expenditure data by NHMRC across various health priority areas.|De-identified|No
NHMRC Expenditure for Disease, Research and Health Areas|Annual expenditure data by NHMRC across various disease, research, and health topics.|De-identified|No","Step 1: Develop Research Proposal | Actor: Researcher | Form/Portal: N/A | Duration: Varies
Step 2: Identify Relevant Data Custodian | Actor: Researcher | Form/Portal: N/A | Duration: Varies
Step 3: Apply for Data Access from Custodian | Actor: Researcher | Form/Portal: Custodian-specific application forms/portals | Duration: Varies
Step 4: Submit Research Proposal for HREC Review | Actor: Researcher | Form/Portal: HREC-specific application forms | Duration: 2-3 months (initial review)
Step 5: HREC Review and Approval | Actor: HREC | Form/Portal: N/A | Duration: 1-2 months (decision and communication)
Step 6: Data Provision by Custodian | Actor: Data Custodian | Form/Portal: N/A | Duration: Varies (post-HREC approval)","The National Statement on Ethical Conduct in Human Research (2025) is the primary guideline. It is based on four core values: respect for people, research merit & integrity, justice, and beneficence. It provides guidance on assessing risk and benefit, obtaining informed consent (including qualifying or waiving conditions), and managing data. HRECs are responsible for reviewing research proposals to ensure ethical conduct. The National Health and Medical Research Council Act 1992 establishes the role of the CEO whose functions include the issue of ""guidelines for the conduct of research"" which includes the National Statement.",No dedicated TRE — data access is managed by individual data custodians and subject to HREC approval.,"Email: nhmrc@nhmrc.gov.au; Phone: 1300 064 672 (Australia), +61 2 6217 9000 (International); General Contact Page: https://www.nhmrc.gov.au/about-us/contact-us
Application Portal: Human Research Ethics Application (HREA): https://hrea.gov.au/; HREC Registration Application: https://www.nhmrc.gov.au/forms/application-registration-hrec","6-12 months (for HREC approval and subsequent data access, highly variable depending on complexity and custodian processes)","ABS: NHMRC utilizes ABS standards for research classifications and data definitions, such as the ABS 2020 Standard for sex and gender in health and medical research.
AIHW: NHMRC collaborates with AIHW and ABS on data integration initiatives, including the creation of pilot datasets.
Department of Health and Aged Care: As a Commonwealth entity, NHMRC works closely with the Department of Health and Aged Care on national health policy, research funding, and ethical guidelines.","https://www.nhmrc.gov.au/about-us
https://www.nhmrc.gov.au/research-policy/ethics/national-statement-ethical-conduct-human-research
https://www.irisethics.com.au/blog/resources-1/a-plain-english-summary-of-the-national-statement-12
https://www.nhmrc.gov.au/funding/outcomes-and-data-research/research-funding-statistics-and-data
https://www.nhmrc.gov.au/about-us/contact-us
https://hrea.gov.au/
https://www.nhmrc.gov.au/forms/application-registration-hrec
https://www.nhmrc.gov.au/about-us/publications/principles-accessing-and-using-publicly-funded-data-health-research
https://www.nhmrc.gov.au/research-policy/ethics/human-research-ethics-committees",Standard custodian — no special classification needed
National Aboriginal Community Controlled Health Organisation,NACCHO,NGO,Commonwealth,"NACCHO is the national peak body representing 148 Aboriginal Community Controlled Health Organisations (ACCHOs) across Australia. It plays a vital role in administering programs and projects dedicated to improving the health and wellbeing of Aboriginal and Torres Strait Islander communities, advocating for policy reforms, and ensuring Aboriginal and Torres Strait Islander people are actively involved in decision-making on issues that directly impact them.","Online Services Report (OSR)|Collects data from organisations funded by the Australian Government to deliver primary health care services to Aboriginal and Torres Strait Islander Australians.|De-identified|Yes via AIHW;National Key Performance Indicators (nKPIs)|Tracks and evaluates progress towards the goals of the National Aboriginal and Torres Strait Islander Health Plan.|De-identified|Yes via AIHW;National Profile of Local Health Departments (Profile)|Collects information about governance, funding, partnerships, performance improvement, workforce, and information technology of Local Health Departments.|Yes/De-identified (identified data requires additional agreement)|Yes via ICPSR;Forces of Change Studies|Surveys related to changes impacting local health departments.|Yes/De-identified (identified data requires additional agreement)|Yes via ICPSR",Step 1: Submit written request to NACCHO|Actor: Researcher|Form/Portal: Data Request Form available on NACCHO’s website (not a specific URL found)|Duration: Not publicly available;Step 2: Request consideration by NACCHO’s Senior Director for Research and Evaluation|Actor: NACCHO|Form/Portal: Internal process|Duration: Not publicly available;Step 3: Agree to and abide by the Data Use Agreement|Actor: Researcher|Form/Portal: Data Use Agreement|Duration: Not publicly available;Step 4: Obtain authorization from appropriate local health officials for identified data|Actor: Researcher|Form/Portal: Written authorization|Duration: Not publicly available,"NACCHO operates within a robust governance framework rooted in the principle of community control. Policy submissions universally include recommendations that remind all Australian governments of their commitment to the National Agreement on Closing the Gap and its four Priority Reforms, including sharing of data with community to support local planning. NACCHO's Privacy Policy outlines the collection, use, and disclosure of personal data, emphasizing security and compliance with legal obligations. The AIHW report highlights the National Aboriginal and Torres Strait Islander Health Data Principles (AHMAC 2006) as a basis for data review and development.",,General inquiries: https://www.naccho.org.au/contact-us/ | Phone: 02 6246 9300 | Policy inquiries: policy@naccho.org.au,Not publicly available,"AIHW: collaboration on the review of Online Services Report (OSR) and National Key Performance Indicators (nKPIs);Department of Health and Aged Care: commissioned AIHW to review OSR and nKPIs, and NACCHO advocates for policy reforms with government departments;ACCHOs: NACCHO is the national peak body representing 148 ACCHOs, supporting their data collection and use;ICSPR: repository for Profile and Forces of Change data for researchers.",https://www.naccho.org.au/;https://www.naccho.org.au/policy/;https://www.naccho.org.au/privacy-policy/;https://www.naccho.org.au/governance/;https://www.aihw.gov.au/reports/indigenous-australians/review-of-the-two-national-indigenous-specific-pri/summary;https://www.naccho.org/uploads/downloadable-resources/Data-Release-Policy_Profile-2019.pdf,Standard custodian — no special classification needed
PHN Cooperative / Primary Health Insights,PHI/PHN Cooperative,NGO,Commonwealth,"Primary Health Insights is a secure national data platform for using de-identified general practice and other primary health information and analytics to improve primary health care delivery and outcomes. It hosts the de-identified general practice and other primary health data of most of the Primary Health Networks (PHNs) across Australia. The PHN Cooperative is a collective of all 31 PHNs in Australia, facilitating activities and engagement at a national level.","Practice Incentives Program Quality Improvement (PIP QI) data|De-identified aggregate data from general practices on specified quality improvement measures.|De-identified|Yes via Primary Health Insights
General Practice Data|De-identified data from general practices, including patient demographics, diagnoses, and treatments.|De-identified|Yes via Primary Health Insights
Commissioned Services Data|Data from primary healthcare services commissioned by PHNs.|De-identified|Yes via Primary Health Insights",Not publicly available,"Primary Health Insights and the PHN Cooperative are governed by the PHN National Data Governance Policy and the National Data Governance Framework. This framework ensures compliance with the Privacy Act 1988 and the Australian Privacy Principles (APPs). Data is de-identified, and access is controlled through a 'lockbox' system, where each PHN retains custodianship of its data. The framework also outlines the roles and responsibilities for data governance, including the PHN Cooperative's National Data Governance Committee.",Primary Health Insights - https://www.primaryhealthinsights.org.au/,execoffice@phncooperative.org.au,Not publicly available,"Australian Institute of Health and Welfare (AIHW): AIHW is a Primary Health Insights participant and is required to maintain the same data governance requirements as PHNs for the data held in its secure lock box.
Department of Health and Aged Care: The development and implementation of Primary Health Insights was funded by the Australian Government Department of Health.
Primary Health Networks (PHNs): Primary Health Insights is a collaborative initiative of the PHNs, and the platform is owned by them.","https://www.primaryhealthinsights.org.au/
https://www.phncooperative.org.au/
https://static1.squarespace.com/static/5d8d987f1f23b42c65541c06/t/624bc7aee9dc9b090b1944fa/1649133488950/PHNs+National+Data+Governance+Policy.pdf
https://www.primaryhealthinsights.org.au/about
https://www.primaryhealthinsights.org.au/how-primary-health-insights-works",Data Aggregator and Secure Platform for Primary Health Networks.
Australian Bureau of Statistics,ABS,Statistical Publisher,Commonwealth,"The Australian Bureau of Statistics (ABS) is Australia's national statistical agency. Its primary role in the health data ecosystem is to collect, process, analyse and disseminate a wide range of health and social data to inform Australia's important decisions. The ABS conducts major health surveys, including the National Health Survey and the National Aboriginal and Torres Strait Islander Health Survey, providing key statistics on health status, risk factors, and health service usage.","National Health Survey|A collection of information about the health of Australians, including long-term health conditions, health risk factors, and health system use.|De-identified|Yes via DataLab
National Aboriginal and Torres Strait Islander Health Survey|Provides a range of information about Aboriginal and Torres Strait Islander people including health outcomes, health risk factors, and social and emotional wellbeing.|De-identified|Yes via DataLab
Causes of Death, Australia|Provides statistics on the number of deaths, by sex, selected causes of death, and state or territory of usual residence.|De-identified|Yes via DataLab","Step 1: Project Proposal | Actor: Researcher | Form/Portal: myDATA Portal (https://mydata.abs.gov.au) | Duration: 2-4 weeks
Step 2: Safe Researcher Training | Actor: Researcher | Form/Portal: Online | Duration: 1-2 days
Step 3: Data Access | Actor: ABS | Form/Portal: DataLab (https://www.abs.gov.au/statistics/microdata-tablebuilder/datalab) | Duration: 4-8 weeks",The ABS is governed by the Census and Statistics Act 1905 and the Australian Bureau of Statistics Act 1975. All data is handled in accordance with the Privacy Act 1988. The ABS uses the Five Safes Framework to manage data access and confidentiality.,ABS DataLab (https://www.abs.gov.au/statistics/microdata-tablebuilder/datalab),mydataportal@abs.gov.au,3-6 months,"Australian Institute of Health and Welfare (AIHW): The ABS and AIHW collaborate on a range of health and welfare statistics, including data linkage projects.
Department of Health and Aged Care: The ABS provides key health data that informs the Department's policy and program development.
Services Australia: The ABS links its data with data from Services Australia to create integrated datasets for research and statistical purposes.","https://www.abs.gov.au/statistics/health
https://www.abs.gov.au/statistics/microdata-tablebuilder/datalab
https://www.abs.gov.au/about/data-services/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation
https://www.aihw.gov.au/australias-disability-strategy/technical-resources/data-sources/australian-bureau-of-statistics-nhs",Standard custodian — no special classification needed
Australian Institute of Health and Welfare Data Integration Services Centre,AIHW DISC,Statistical Publisher,Commonwealth,"The AIHW Data Integration Services Centre (DISC) is responsible for assisting researchers with customised data linkage projects. It integrates a range of datasets for research purposes, bringing together data from multiple sources to better understand the health and welfare of Australians. This service supports evidence-based policy and service improvement across the health and welfare sectors.","National Disability Data Asset (NDDA)|A nation-wide, multi-sector linked data asset for understanding needs, services, and outcomes for people with disability.|De-identified|Linkable
Admitted Patient Care (APC) National Minimum Data Set (NMDS)|Data on admitted patient care in Australian hospitals.|De-identified|Linkable
Medicare Benefits Schedule (MBS)|Data on services provided by medical practitioners.|De-identified|Linkable
Pharmaceutical Benefits Scheme (PBS)|Data on subsidised medicines.|De-identified|Linkable
National Bowel Cancer Screening Program|Data related to bowel cancer screening outcomes.|De-identified|Linkable","Step 1: Submit project proposal form | Actor: Researcher | Form/Portal: Project proposal form (via AIHW website) | Duration: Not publicly available
Step 2: Project proposal reviewed and assessed | Actor: AIHW Data Custodian, AIHW Ethics Committee secretary, NHDH Advisory Committee, other data custodians | Form/Portal: Internal review process | Duration: Not publicly available
Step 3: Approval obtained | Actor: AIHW | Form/Portal: N/A | Duration: Not publicly available
Step 4: Onboarding training and secure access setup | Actor: Researcher, AIHW | Form/Portal: N/A | Duration: Not publicly available
Step 5: Submit Output Clearance Request Form for data release | Actor: Researcher | Form/Portal: Output Clearance Request Form (via AIHW website) | Duration: Not publicly available","Legislation: Australian Institute of Health and Welfare Act 1987 (Section 16 for Ethics Committee), Privacy Act 1988, Data Availability and Transparency Act 2022.
HREC Requirements: All projects using linked data systems must have ethical approval from the AIHW Ethics Committee. The Committee is recognized by the NHMRC as a properly constituted Human Research Ethics Committee as outlined in the National Statement on Ethical Conduct in Human Research.
Frameworks: Five Safes Framework (embedded in data sharing and release decisions), AIHW Data Governance Framework.",,Email: linkage@aihw.gov.au (for data linkage inquiries); nhdh@aihw.gov.au (for NHDH inquiries),Not publicly available (process can vary based on project complexity),"ABS: Collaboration on National Disability Data Asset (NDDA) and data integration. ABS receives de-identified data from AIHW for NDDA preparation.
Services Australia: Data from Medicare Consumer Directory and Centrelink Data Over Multiple Individual Occurrences (DOMINO) are linked by AIHW DISC.
Department of Health and Aged Care: Partner in the National Health Data Hub (NHDH).
NSW Health: Partner in the National Health Data Hub (NHDH).
Queensland Health: Partner in the National Health Data Hub (NHDH).
Population Health Research Network (PHRN): Partner in the National Health Data Hub (NHDH).","https://www.aihw.gov.au/our-services/data-linkage/data-linkage-services
https://www.aihw.gov.au/about-our-data/linked-data-assets
https://www.aihw.gov.au/about-our-data/accessing-data-through-the-aihw
https://www.aihw.gov.au/reports-data/nhdh/access
https://www.aihw.gov.au/about-us/committees/aihw-ethics-committee
https://www.aihw.gov.au/about-our-data/data-governance
https://www.aihw.gov.au/our-services/data-linkage/our-secure-linkage-environment
https://ardc.edu.au/project/linked-data-asset-australian-health-research/",Standard custodian — no special classification needed
Australian Prudential Regulation Authority,APRA,Statistical Publisher,Commonwealth,"The Australian Prudential Regulation Authority (APRA) is Australia's prudential regulator of banks, insurance companies, and most superannuation funds. In the health data ecosystem, APRA's primary role is to collect and publish aggregate statistics on the private health insurance industry. This is done to monitor the financial performance, stability, and prudential soundness of private health insurers, rather than to provide granular data for external health research.","Quarterly private health insurance statistics|Membership, coverage, benefits paid, medical gap, medical devices or human tissue products, and medical services|De-identified|No
Annual private health insurance statistics|Industry aggregate summaries and data on operations of private health insurers|De-identified|No
Private Health Insurance Annual Coverage Survey|Snapshot of insured persons by age, gender, and state|De-identified|No",Not publicly available for external researchers to access granular data. APRA publishes aggregate statistics.,"APRA's data collection and management are governed by the Financial Sector (Collection of Data) Act 2001. APRA also has prudential standards such as CPS 234 Information Security and CPG 235 Managing Data Risk, which apply to regulated entities reporting data to APRA. These frameworks ensure the security and integrity of the data APRA collects. Specific ethics and governance requirements for external researchers accessing granular data from APRA are not publicly available.",No dedicated TRE — data is published as aggregate statistics.,Email: dataanalytics@apra.gov.au,Not applicable,"Reserve Bank of Australia (RBA): Memorandum of Understanding for consultation, information sharing, and coordination on financial stability issues. 
Private Health Insurers: APRA collects data from private health insurers as part of its regulatory function. 
Australian Bureau of Statistics (ABS): APRA conducts consultation with the superannuation industry on additional superannuation data collected under reporting standards and primarily used by ABS.","https://www.apra.gov.au/quarterly-private-health-insurance-statistics
https://www.apra.gov.au/about-us
https://www.apra.gov.au/statistics
https://www.apra.gov.au/private-health-insurance-reform-data-collection-0
https://www.rba.gov.au/fin-stability/reg-framework/memoranda-of-understanding/mou-apra-2025.html",Standard custodian — no special classification needed
Australian Bureau of Statistics DataLab,ABS DataLab,TRE/SDE,Commonwealth,The ABS DataLab provides a secure microdata access environment for high-end users to undertake real-time complex analysis of detailed microdata. It facilitates statistical research and modelling by offering access to a wide range of de-identified and integrated datasets from various sources.,"Person Level Integrated Data Asset (PLIDA)|Combines information on health, education, government payments, income and taxation, employment, and population demographics.|De-identified|Yes via Person Linkage Spine
Australian Census Longitudinal Dataset (ACLD)|A longitudinal dataset using data from successive Censuses, providing a 5% sample panel of people.|De-identified|Yes via Census linkage
ABS Survey Results|Detailed microdata from various ABS surveys covering topics like health, education, labour force, crime, and disabilities.|De-identified|No","Step 1: Ensure you meet requirements | Actor: Applicant/ABS | Form/Portal: N/A | Duration: Not publicly available
Step 2: Register and activate your account | Actor: Applicant | Form/Portal: myDATA Portal (https://mydataportal.abs.gov.au/) | Duration: Not publicly available
Step 3: Submit project proposal | Actor: Applicant | Form/Portal: myDATA Portal (https://mydataportal.abs.gov.au/) | Duration: Not publicly available
Step 4: Complete DataLab safe researcher training and onboarding | Actor: Applicant | Form/Portal: N/A | Duration: Approximately 4 weeks for training registration [7]",The ABS DataLab adheres to PROTECTED level security standards as per the Australian Government Information Security Manual (ISM) and undergoes Independent Security Registered Assessors Program (IRAP) certification. It implements the Safe Settings aspect of the Five Safes Framework. Projects involving Aboriginal and/or Torres Strait Islander peoples may undergo a Cultural Review by the Centre of Aboriginal and Torres Strait Islander Statistics at the ABS [1].,ABS DataLab (datalab.abs.gov.au and sead.abs.gov.au),https://mydataportal.abs.gov.au/,Not publicly available (project approval and data receipt timeline varies),"Department of Health and Aged Care: Partner agency in PLIDA [4]
Services Australia: Partner agency in PLIDA [4]
Australian Institute of Health and Welfare: Observer on PLIDA Board [4]","https://www.abs.gov.au/statistics/microdata-tablebuilder/datalab [1]
https://www.abs.gov.au/about/data-services/data-integration/integrated-data/person-level-integrated-data-asset-plida [2]
https://mydataportal.abs.gov.au/ [3]
https://www.abs.gov.au/about/data-services/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation [4]
https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset [5]
https://www.abs.gov.au/about/data-services/data-integration/integrated-data/data-integration-service [6]
https://evaluation.treasury.gov.au/sites/evaluation.treasury.gov.au/files/2025-01/government-administrative-data-sources-for-evaluation-in-australia.docx [7]",TRE/SDE - Secure Microdata Access Environment
Cancer Institute NSW,CINSW,State - NSW,New South Wales,"The Cancer Institute NSW is NSW's cancer control agency, established under the Cancer Institute NSW (2003) Act. Its primary role is to lessen the impact of cancer across the State by promoting better cancer prevention, early detection, diagnosis, treatment, and care.","NSW Cancer Registry (NSWCR)|Maintains records of people with cancer in NSW, including demographic, incidence, death details, and clinical data on cancer stage, treatment, and quality of care.|Identifiable (potentially re-identifiable) or De-identified|Yes via CHeReL or AIHW
BreastScreen NSW|Data related to breast cancer screening.|Identifiable (potentially re-identifiable) or De-identified|Yes via CHeReL or AIHW
NSW Clinical Cancer Registry (2008–2012)|Clinical data relating to episodes of care for people treated for cancer in NSW for the specified period.|Identifiable (potentially re-identifiable) or De-identified|Yes via CHeReL or AIHW","Step 1: Initial Inquiry and Data Custodian Approval | Actor: Researcher & Cancer Institute NSW Data Custodian | Form/Portal: Email to CINSW-DARenquiries@health.nsw.gov.au | Duration: Not specified for initial inquiry, but approval for unlinked de-identified data is ~3 months.
Step 2: Documentation Submission for Ethical Review | Actor: Researcher | Form/Portal: NSW PHSREC website (documentation listed there), submission to CINSW-DARenquiries@health.nsw.gov.au | Duration: Approval in approximately three months if documentation is complete.
Step 3: Data Release | Actor: Cancer Institute NSW | Form/Portal: Not specified (secure transfer implied) | Duration: Approximately one month after approval.","The Cancer Institute NSW uses the Five Safes Framework for data sharing. Requests for unit record data require signed data custodian approval before submission to the NSW Population and Health Services Research Ethics Committee (NSW PHSREC). Researchers must comply with data management requirements including storing data on a password-protected local area network, not on cloud or portable devices, and in a secure physical and electronic environment. The Public Health Act 2010 requires notification of new cancer cases and deaths.",,"Email: CINSW-DARenquiries@health.nsw.gov.au
Phone: 02 8374 5600",3-4 months for unlinked de-identified unit record data requests,"AIHW: collaboration on national cancer data projects, such as the Metastatic Breast Cancer report.
CHeReL: provides record linkage services for NSW data, including the NSW Cancer Registry.
NSW Health: Cancer Institute NSW is a pillar organisation of NSW Health, setting strategic direction for cancer control.","https://www.cancer.nsw.gov.au/what-we-do
https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request/request-unit-record-data-for-research/nsw-cancer-registry
https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-governance
https://www.cancer.nsw.gov.au/research-and-data/cancer-data-and-statistics/data-available-on-request/request-unit-record-data-for-research
https://www.aihw.gov.au/reports/cancer/metastatic-breast-cancer-first-national-estimates/contents/summary",Standard custodian — no special classification needed
